"university_name","university_slug","group","decile","cumulative_percentage"
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",0,0
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",1,8
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",2,16
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",3,27
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",4,40
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",5,53
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",6,67
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",7,79
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",8,89
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",9,96
"Canterbury Christ Church University","canterbury-christ-church-university","Enrolment",10,100
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",0,0
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",1,10
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",2,20
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",3,30
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",4,40
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",5,50
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",6,60
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",7,70
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",8,80
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",9,90
"Canterbury Christ Church University","canterbury-christ-church-university","Equal",10,100
"Canterbury Christ Church University","canterbury-christ-church-university","Required",0,0
"Canterbury Christ Church University","canterbury-christ-church-university","Required",1,5
"Canterbury Christ Church University","canterbury-christ-church-university","Required",2,11
"Canterbury Christ Church University","canterbury-christ-church-university","Required",3,18
"Canterbury Christ Church University","canterbury-christ-church-university","Required",4,27
"Canterbury Christ Church University","canterbury-christ-church-university","Required",5,37
"Canterbury Christ Church University","canterbury-christ-church-university","Required",6,47
"Canterbury Christ Church University","canterbury-christ-church-university","Required",7,58
"Canterbury Christ Church University","canterbury-christ-church-university","Required",8,69
"Canterbury Christ Church University","canterbury-christ-church-university","Required",9,80
"Canterbury Christ Church University","canterbury-christ-church-university","Required",10,100
