"university_name","university_slug","group","decile","cumulative_percentage"
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",0,0
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",1,17
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",2,32
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",3,46
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",4,61
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",5,72
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",6,78
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",7,82
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",8,85
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",9,88
"City St George's, University of London","city-st-georges-university-of-london","Enrolment",10,100
"City St George's, University of London","city-st-georges-university-of-london","Equal",0,0
"City St George's, University of London","city-st-georges-university-of-london","Equal",1,10
"City St George's, University of London","city-st-georges-university-of-london","Equal",2,20
"City St George's, University of London","city-st-georges-university-of-london","Equal",3,30
"City St George's, University of London","city-st-georges-university-of-london","Equal",4,40
"City St George's, University of London","city-st-georges-university-of-london","Equal",5,50
"City St George's, University of London","city-st-georges-university-of-london","Equal",6,60
"City St George's, University of London","city-st-georges-university-of-london","Equal",7,70
"City St George's, University of London","city-st-georges-university-of-london","Equal",8,80
"City St George's, University of London","city-st-georges-university-of-london","Equal",9,90
"City St George's, University of London","city-st-georges-university-of-london","Equal",10,100
"City St George's, University of London","city-st-georges-university-of-london","Required",0,0
"City St George's, University of London","city-st-georges-university-of-london","Required",1,10
"City St George's, University of London","city-st-georges-university-of-london","Required",2,21
"City St George's, University of London","city-st-georges-university-of-london","Required",3,33
"City St George's, University of London","city-st-georges-university-of-london","Required",4,45
"City St George's, University of London","city-st-georges-university-of-london","Required",5,54
"City St George's, University of London","city-st-georges-university-of-london","Required",6,61
"City St George's, University of London","city-st-georges-university-of-london","Required",7,68
"City St George's, University of London","city-st-georges-university-of-london","Required",8,74
"City St George's, University of London","city-st-georges-university-of-london","Required",9,81
"City St George's, University of London","city-st-georges-university-of-london","Required",10,100
