"university_name","university_slug","group","decile","cumulative_percentage"
"Edge Hill University","edge-hill-university","Enrolment",0,0
"Edge Hill University","edge-hill-university","Enrolment",1,6
"Edge Hill University","edge-hill-university","Enrolment",2,13
"Edge Hill University","edge-hill-university","Enrolment",3,21
"Edge Hill University","edge-hill-university","Enrolment",4,31
"Edge Hill University","edge-hill-university","Enrolment",5,40
"Edge Hill University","edge-hill-university","Enrolment",6,52
"Edge Hill University","edge-hill-university","Enrolment",7,63
"Edge Hill University","edge-hill-university","Enrolment",8,78
"Edge Hill University","edge-hill-university","Enrolment",9,94
"Edge Hill University","edge-hill-university","Enrolment",10,100
"Edge Hill University","edge-hill-university","Equal",0,0
"Edge Hill University","edge-hill-university","Equal",1,10
"Edge Hill University","edge-hill-university","Equal",2,20
"Edge Hill University","edge-hill-university","Equal",3,30
"Edge Hill University","edge-hill-university","Equal",4,40
"Edge Hill University","edge-hill-university","Equal",5,50
"Edge Hill University","edge-hill-university","Equal",6,60
"Edge Hill University","edge-hill-university","Equal",7,70
"Edge Hill University","edge-hill-university","Equal",8,80
"Edge Hill University","edge-hill-university","Equal",9,90
"Edge Hill University","edge-hill-university","Equal",10,100
"Edge Hill University","edge-hill-university","Required",0,0
"Edge Hill University","edge-hill-university","Required",1,5
"Edge Hill University","edge-hill-university","Required",2,11
"Edge Hill University","edge-hill-university","Required",3,19
"Edge Hill University","edge-hill-university","Required",4,28
"Edge Hill University","edge-hill-university","Required",5,37
"Edge Hill University","edge-hill-university","Required",6,47
"Edge Hill University","edge-hill-university","Required",7,59
"Edge Hill University","edge-hill-university","Required",8,72
"Edge Hill University","edge-hill-university","Required",9,88
"Edge Hill University","edge-hill-university","Required",10,100
