"university_name","university_slug","group","decile","cumulative_percentage"
"Falmouth University","falmouth-university","Enrolment",0,0
"Falmouth University","falmouth-university","Enrolment",1,2
"Falmouth University","falmouth-university","Enrolment",2,6
"Falmouth University","falmouth-university","Enrolment",3,12
"Falmouth University","falmouth-university","Enrolment",4,18
"Falmouth University","falmouth-university","Enrolment",5,27
"Falmouth University","falmouth-university","Enrolment",6,42
"Falmouth University","falmouth-university","Enrolment",7,56
"Falmouth University","falmouth-university","Enrolment",8,70
"Falmouth University","falmouth-university","Enrolment",9,84
"Falmouth University","falmouth-university","Enrolment",10,100
"Falmouth University","falmouth-university","Equal",0,0
"Falmouth University","falmouth-university","Equal",1,10
"Falmouth University","falmouth-university","Equal",2,20
"Falmouth University","falmouth-university","Equal",3,30
"Falmouth University","falmouth-university","Equal",4,40
"Falmouth University","falmouth-university","Equal",5,50
"Falmouth University","falmouth-university","Equal",6,60
"Falmouth University","falmouth-university","Equal",7,70
"Falmouth University","falmouth-university","Equal",8,80
"Falmouth University","falmouth-university","Equal",9,90
"Falmouth University","falmouth-university","Equal",10,100
"Falmouth University","falmouth-university","Required",0,0
"Falmouth University","falmouth-university","Required",1,5
"Falmouth University","falmouth-university","Required",2,11
"Falmouth University","falmouth-university","Required",3,18
"Falmouth University","falmouth-university","Required",4,27
"Falmouth University","falmouth-university","Required",5,37
"Falmouth University","falmouth-university","Required",6,48
"Falmouth University","falmouth-university","Required",7,59
"Falmouth University","falmouth-university","Required",8,71
"Falmouth University","falmouth-university","Required",9,84
"Falmouth University","falmouth-university","Required",10,100
