"university_name","university_slug","group","decile","cumulative_percentage"
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",0,0
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",1,3
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",2,7
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",3,11
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",4,18
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",5,25
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",6,33
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",7,42
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",8,50
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",9,60
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",10,100
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",0,0
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",1,10
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",2,20
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",3,30
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",4,40
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",5,50
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",6,60
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",7,70
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",8,80
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",9,90
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Equal",10,100
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",0,0
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",1,1
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",2,3
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",3,7
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",4,13
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",5,20
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",6,29
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",7,40
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",8,52
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",9,68
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Required",10,100
