"university_name","university_slug","group","decile","cumulative_percentage"
"King's College London","kings-college-london","Enrolment",0,0
"King's College London","kings-college-london","Enrolment",1,7
"King's College London","kings-college-london","Enrolment",2,15
"King's College London","kings-college-london","Enrolment",3,25
"King's College London","kings-college-london","Enrolment",4,36
"King's College London","kings-college-london","Enrolment",5,44
"King's College London","kings-college-london","Enrolment",6,51
"King's College London","kings-college-london","Enrolment",7,58
"King's College London","kings-college-london","Enrolment",8,65
"King's College London","kings-college-london","Enrolment",9,71
"King's College London","kings-college-london","Enrolment",10,100
"King's College London","kings-college-london","Equal",0,0
"King's College London","kings-college-london","Equal",1,10
"King's College London","kings-college-london","Equal",2,20
"King's College London","kings-college-london","Equal",3,30
"King's College London","kings-college-london","Equal",4,40
"King's College London","kings-college-london","Equal",5,50
"King's College London","kings-college-london","Equal",6,60
"King's College London","kings-college-london","Equal",7,70
"King's College London","kings-college-london","Equal",8,80
"King's College London","kings-college-london","Equal",9,90
"King's College London","kings-college-london","Equal",10,100
"King's College London","kings-college-london","Required",0,0
"King's College London","kings-college-london","Required",1,4
"King's College London","kings-college-london","Required",2,9
"King's College London","kings-college-london","Required",3,16
"King's College London","kings-college-london","Required",4,24
"King's College London","kings-college-london","Required",5,33
"King's College London","kings-college-london","Required",6,43
"King's College London","kings-college-london","Required",7,54
"King's College London","kings-college-london","Required",8,66
"King's College London","kings-college-london","Required",9,80
"King's College London","kings-college-london","Required",10,100
