"university_name","university_slug","group","decile","cumulative_percentage"
"Kingston University","kingston-university","Enrolment",0,0
"Kingston University","kingston-university","Enrolment",1,12
"Kingston University","kingston-university","Enrolment",2,27
"Kingston University","kingston-university","Enrolment",3,39
"Kingston University","kingston-university","Enrolment",4,53
"Kingston University","kingston-university","Enrolment",5,64
"Kingston University","kingston-university","Enrolment",6,72
"Kingston University","kingston-university","Enrolment",7,79
"Kingston University","kingston-university","Enrolment",8,85
"Kingston University","kingston-university","Enrolment",9,91
"Kingston University","kingston-university","Enrolment",10,100
"Kingston University","kingston-university","Equal",0,0
"Kingston University","kingston-university","Equal",1,10
"Kingston University","kingston-university","Equal",2,20
"Kingston University","kingston-university","Equal",3,30
"Kingston University","kingston-university","Equal",4,40
"Kingston University","kingston-university","Equal",5,50
"Kingston University","kingston-university","Equal",6,60
"Kingston University","kingston-university","Equal",7,70
"Kingston University","kingston-university","Equal",8,80
"Kingston University","kingston-university","Equal",9,90
"Kingston University","kingston-university","Equal",10,100
"Kingston University","kingston-university","Required",0,0
"Kingston University","kingston-university","Required",1,6
"Kingston University","kingston-university","Required",2,13
"Kingston University","kingston-university","Required",3,21
"Kingston University","kingston-university","Required",4,31
"Kingston University","kingston-university","Required",5,41
"Kingston University","kingston-university","Required",6,50
"Kingston University","kingston-university","Required",7,59
"Kingston University","kingston-university","Required",8,68
"Kingston University","kingston-university","Required",9,79
"Kingston University","kingston-university","Required",10,100
