"university_name","university_slug","group","decile","cumulative_percentage"
"London South Bank University","london-south-bank-university","Enrolment",0,0
"London South Bank University","london-south-bank-university","Enrolment",1,19
"London South Bank University","london-south-bank-university","Enrolment",2,36
"London South Bank University","london-south-bank-university","Enrolment",3,49
"London South Bank University","london-south-bank-university","Enrolment",4,63
"London South Bank University","london-south-bank-university","Enrolment",5,72
"London South Bank University","london-south-bank-university","Enrolment",6,79
"London South Bank University","london-south-bank-university","Enrolment",7,85
"London South Bank University","london-south-bank-university","Enrolment",8,89
"London South Bank University","london-south-bank-university","Enrolment",9,94
"London South Bank University","london-south-bank-university","Enrolment",10,100
"London South Bank University","london-south-bank-university","Equal",0,0
"London South Bank University","london-south-bank-university","Equal",1,10
"London South Bank University","london-south-bank-university","Equal",2,20
"London South Bank University","london-south-bank-university","Equal",3,30
"London South Bank University","london-south-bank-university","Equal",4,40
"London South Bank University","london-south-bank-university","Equal",5,50
"London South Bank University","london-south-bank-university","Equal",6,60
"London South Bank University","london-south-bank-university","Equal",7,70
"London South Bank University","london-south-bank-university","Equal",8,80
"London South Bank University","london-south-bank-university","Equal",9,90
"London South Bank University","london-south-bank-university","Equal",10,100
"London South Bank University","london-south-bank-university","Required",0,0
"London South Bank University","london-south-bank-university","Required",1,11
"London South Bank University","london-south-bank-university","Required",2,22
"London South Bank University","london-south-bank-university","Required",3,34
"London South Bank University","london-south-bank-university","Required",4,48
"London South Bank University","london-south-bank-university","Required",5,57
"London South Bank University","london-south-bank-university","Required",6,64
"London South Bank University","london-south-bank-university","Required",7,71
"London South Bank University","london-south-bank-university","Required",8,77
"London South Bank University","london-south-bank-university","Required",9,84
"London South Bank University","london-south-bank-university","Required",10,100
