"university_name","university_slug","group","decile","cumulative_percentage"
"Middlesex University","middlesex-university","Enrolment",0,0
"Middlesex University","middlesex-university","Enrolment",1,18
"Middlesex University","middlesex-university","Enrolment",2,38
"Middlesex University","middlesex-university","Enrolment",3,54
"Middlesex University","middlesex-university","Enrolment",4,70
"Middlesex University","middlesex-university","Enrolment",5,80
"Middlesex University","middlesex-university","Enrolment",6,85
"Middlesex University","middlesex-university","Enrolment",7,89
"Middlesex University","middlesex-university","Enrolment",8,93
"Middlesex University","middlesex-university","Enrolment",9,96
"Middlesex University","middlesex-university","Enrolment",10,100
"Middlesex University","middlesex-university","Equal",0,0
"Middlesex University","middlesex-university","Equal",1,10
"Middlesex University","middlesex-university","Equal",2,20
"Middlesex University","middlesex-university","Equal",3,30
"Middlesex University","middlesex-university","Equal",4,40
"Middlesex University","middlesex-university","Equal",5,50
"Middlesex University","middlesex-university","Equal",6,60
"Middlesex University","middlesex-university","Equal",7,70
"Middlesex University","middlesex-university","Equal",8,80
"Middlesex University","middlesex-university","Equal",9,90
"Middlesex University","middlesex-university","Equal",10,100
"Middlesex University","middlesex-university","Required",0,0
"Middlesex University","middlesex-university","Required",1,8
"Middlesex University","middlesex-university","Required",2,17
"Middlesex University","middlesex-university","Required",3,28
"Middlesex University","middlesex-university","Required",4,40
"Middlesex University","middlesex-university","Required",5,51
"Middlesex University","middlesex-university","Required",6,61
"Middlesex University","middlesex-university","Required",7,69
"Middlesex University","middlesex-university","Required",8,78
"Middlesex University","middlesex-university","Required",9,86
"Middlesex University","middlesex-university","Required",10,100
