"university_name","university_slug","group","decile","cumulative_percentage"
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",0,0
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",1,5
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",2,12
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",3,18
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",4,26
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",5,35
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",6,49
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",7,65
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",8,81
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",9,92
"Norwich University of the Arts","norwich-university-of-the-arts","Enrolment",10,100
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",0,0
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",1,10
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",2,20
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",3,30
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",4,40
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",5,50
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",6,60
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",7,70
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",8,80
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",9,90
"Norwich University of the Arts","norwich-university-of-the-arts","Equal",10,100
"Norwich University of the Arts","norwich-university-of-the-arts","Required",0,0
"Norwich University of the Arts","norwich-university-of-the-arts","Required",1,4
"Norwich University of the Arts","norwich-university-of-the-arts","Required",2,9
"Norwich University of the Arts","norwich-university-of-the-arts","Required",3,16
"Norwich University of the Arts","norwich-university-of-the-arts","Required",4,25
"Norwich University of the Arts","norwich-university-of-the-arts","Required",5,34
"Norwich University of the Arts","norwich-university-of-the-arts","Required",6,45
"Norwich University of the Arts","norwich-university-of-the-arts","Required",7,57
"Norwich University of the Arts","norwich-university-of-the-arts","Required",8,68
"Norwich University of the Arts","norwich-university-of-the-arts","Required",9,80
"Norwich University of the Arts","norwich-university-of-the-arts","Required",10,100
