"university_name","university_slug","group","decile","cumulative_percentage"
"Oxford Brookes University","oxford-brookes-university","Enrolment",0,0
"Oxford Brookes University","oxford-brookes-university","Enrolment",1,2
"Oxford Brookes University","oxford-brookes-university","Enrolment",2,5
"Oxford Brookes University","oxford-brookes-university","Enrolment",3,9
"Oxford Brookes University","oxford-brookes-university","Enrolment",4,14
"Oxford Brookes University","oxford-brookes-university","Enrolment",5,20
"Oxford Brookes University","oxford-brookes-university","Enrolment",6,28
"Oxford Brookes University","oxford-brookes-university","Enrolment",7,38
"Oxford Brookes University","oxford-brookes-university","Enrolment",8,49
"Oxford Brookes University","oxford-brookes-university","Enrolment",9,62
"Oxford Brookes University","oxford-brookes-university","Enrolment",10,100
"Oxford Brookes University","oxford-brookes-university","Equal",0,0
"Oxford Brookes University","oxford-brookes-university","Equal",1,10
"Oxford Brookes University","oxford-brookes-university","Equal",2,20
"Oxford Brookes University","oxford-brookes-university","Equal",3,30
"Oxford Brookes University","oxford-brookes-university","Equal",4,40
"Oxford Brookes University","oxford-brookes-university","Equal",5,50
"Oxford Brookes University","oxford-brookes-university","Equal",6,60
"Oxford Brookes University","oxford-brookes-university","Equal",7,70
"Oxford Brookes University","oxford-brookes-university","Equal",8,80
"Oxford Brookes University","oxford-brookes-university","Equal",9,90
"Oxford Brookes University","oxford-brookes-university","Equal",10,100
"Oxford Brookes University","oxford-brookes-university","Required",0,0
"Oxford Brookes University","oxford-brookes-university","Required",1,4
"Oxford Brookes University","oxford-brookes-university","Required",2,9
"Oxford Brookes University","oxford-brookes-university","Required",3,16
"Oxford Brookes University","oxford-brookes-university","Required",4,24
"Oxford Brookes University","oxford-brookes-university","Required",5,33
"Oxford Brookes University","oxford-brookes-university","Required",6,43
"Oxford Brookes University","oxford-brookes-university","Required",7,53
"Oxford Brookes University","oxford-brookes-university","Required",8,65
"Oxford Brookes University","oxford-brookes-university","Required",9,78
"Oxford Brookes University","oxford-brookes-university","Required",10,100
