"university_name","university_slug","group","decile","cumulative_percentage"
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",0,0
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",1,13
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",2,26
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",3,40
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",4,55
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",5,66
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",6,73
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",7,78
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",8,83
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",9,88
"Queen Mary University of London","queen-mary-university-of-london","Enrolment",10,100
"Queen Mary University of London","queen-mary-university-of-london","Equal",0,0
"Queen Mary University of London","queen-mary-university-of-london","Equal",1,10
"Queen Mary University of London","queen-mary-university-of-london","Equal",2,20
"Queen Mary University of London","queen-mary-university-of-london","Equal",3,30
"Queen Mary University of London","queen-mary-university-of-london","Equal",4,40
"Queen Mary University of London","queen-mary-university-of-london","Equal",5,50
"Queen Mary University of London","queen-mary-university-of-london","Equal",6,60
"Queen Mary University of London","queen-mary-university-of-london","Equal",7,70
"Queen Mary University of London","queen-mary-university-of-london","Equal",8,80
"Queen Mary University of London","queen-mary-university-of-london","Equal",9,90
"Queen Mary University of London","queen-mary-university-of-london","Equal",10,100
"Queen Mary University of London","queen-mary-university-of-london","Required",0,0
"Queen Mary University of London","queen-mary-university-of-london","Required",1,4
"Queen Mary University of London","queen-mary-university-of-london","Required",2,9
"Queen Mary University of London","queen-mary-university-of-london","Required",3,16
"Queen Mary University of London","queen-mary-university-of-london","Required",4,25
"Queen Mary University of London","queen-mary-university-of-london","Required",5,34
"Queen Mary University of London","queen-mary-university-of-london","Required",6,44
"Queen Mary University of London","queen-mary-university-of-london","Required",7,55
"Queen Mary University of London","queen-mary-university-of-london","Required",8,67
"Queen Mary University of London","queen-mary-university-of-london","Required",9,81
"Queen Mary University of London","queen-mary-university-of-london","Required",10,100
