"university_name","university_slug","group","decile","cumulative_percentage"
"Ravensbourne University London","ravensbourne-university-london","Enrolment",0,0
"Ravensbourne University London","ravensbourne-university-london","Enrolment",1,8
"Ravensbourne University London","ravensbourne-university-london","Enrolment",2,18
"Ravensbourne University London","ravensbourne-university-london","Enrolment",3,32
"Ravensbourne University London","ravensbourne-university-london","Enrolment",4,44
"Ravensbourne University London","ravensbourne-university-london","Enrolment",5,57
"Ravensbourne University London","ravensbourne-university-london","Enrolment",6,65
"Ravensbourne University London","ravensbourne-university-london","Enrolment",7,74
"Ravensbourne University London","ravensbourne-university-london","Enrolment",8,82
"Ravensbourne University London","ravensbourne-university-london","Enrolment",9,91
"Ravensbourne University London","ravensbourne-university-london","Enrolment",10,100
"Ravensbourne University London","ravensbourne-university-london","Equal",0,0
"Ravensbourne University London","ravensbourne-university-london","Equal",1,10
"Ravensbourne University London","ravensbourne-university-london","Equal",2,20
"Ravensbourne University London","ravensbourne-university-london","Equal",3,30
"Ravensbourne University London","ravensbourne-university-london","Equal",4,40
"Ravensbourne University London","ravensbourne-university-london","Equal",5,50
"Ravensbourne University London","ravensbourne-university-london","Equal",6,60
"Ravensbourne University London","ravensbourne-university-london","Equal",7,70
"Ravensbourne University London","ravensbourne-university-london","Equal",8,80
"Ravensbourne University London","ravensbourne-university-london","Equal",9,90
"Ravensbourne University London","ravensbourne-university-london","Equal",10,100
"Ravensbourne University London","ravensbourne-university-london","Required",0,0
"Ravensbourne University London","ravensbourne-university-london","Required",1,5
"Ravensbourne University London","ravensbourne-university-london","Required",2,11
"Ravensbourne University London","ravensbourne-university-london","Required",3,19
"Ravensbourne University London","ravensbourne-university-london","Required",4,28
"Ravensbourne University London","ravensbourne-university-london","Required",5,38
"Ravensbourne University London","ravensbourne-university-london","Required",6,49
"Ravensbourne University London","ravensbourne-university-london","Required",7,60
"Ravensbourne University London","ravensbourne-university-london","Required",8,72
"Ravensbourne University London","ravensbourne-university-london","Required",9,85
"Ravensbourne University London","ravensbourne-university-london","Required",10,100
