"university_name","university_slug","group","decile","cumulative_percentage"
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",0,0
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",1,6
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",2,12
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",3,19
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",4,29
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",5,39
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",6,51
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",7,64
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",8,78
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",9,93
"Sheffield Hallam University","sheffield-hallam-university","Enrolment",10,100
"Sheffield Hallam University","sheffield-hallam-university","Equal",0,0
"Sheffield Hallam University","sheffield-hallam-university","Equal",1,10
"Sheffield Hallam University","sheffield-hallam-university","Equal",2,20
"Sheffield Hallam University","sheffield-hallam-university","Equal",3,30
"Sheffield Hallam University","sheffield-hallam-university","Equal",4,40
"Sheffield Hallam University","sheffield-hallam-university","Equal",5,50
"Sheffield Hallam University","sheffield-hallam-university","Equal",6,60
"Sheffield Hallam University","sheffield-hallam-university","Equal",7,70
"Sheffield Hallam University","sheffield-hallam-university","Equal",8,80
"Sheffield Hallam University","sheffield-hallam-university","Equal",9,90
"Sheffield Hallam University","sheffield-hallam-university","Equal",10,100
"Sheffield Hallam University","sheffield-hallam-university","Required",0,0
"Sheffield Hallam University","sheffield-hallam-university","Required",1,6
"Sheffield Hallam University","sheffield-hallam-university","Required",2,12
"Sheffield Hallam University","sheffield-hallam-university","Required",3,20
"Sheffield Hallam University","sheffield-hallam-university","Required",4,30
"Sheffield Hallam University","sheffield-hallam-university","Required",5,39
"Sheffield Hallam University","sheffield-hallam-university","Required",6,49
"Sheffield Hallam University","sheffield-hallam-university","Required",7,60
"Sheffield Hallam University","sheffield-hallam-university","Required",8,72
"Sheffield Hallam University","sheffield-hallam-university","Required",9,85
"Sheffield Hallam University","sheffield-hallam-university","Required",10,100
