"university_name","university_slug","group","decile","cumulative_percentage"
"St George's, University of London","st-georges-university-of-london","Enrolment",0,0
"St George's, University of London","st-georges-university-of-london","Enrolment",1,8
"St George's, University of London","st-georges-university-of-london","Enrolment",2,18
"St George's, University of London","st-georges-university-of-london","Enrolment",3,28
"St George's, University of London","st-georges-university-of-london","Enrolment",4,42
"St George's, University of London","st-georges-university-of-london","Enrolment",5,52
"St George's, University of London","st-georges-university-of-london","Enrolment",6,61
"St George's, University of London","st-georges-university-of-london","Enrolment",7,66
"St George's, University of London","st-georges-university-of-london","Enrolment",8,73
"St George's, University of London","st-georges-university-of-london","Enrolment",9,80
"St George's, University of London","st-georges-university-of-london","Enrolment",10,100
"St George's, University of London","st-georges-university-of-london","Equal",0,0
"St George's, University of London","st-georges-university-of-london","Equal",1,10
"St George's, University of London","st-georges-university-of-london","Equal",2,20
"St George's, University of London","st-georges-university-of-london","Equal",3,30
"St George's, University of London","st-georges-university-of-london","Equal",4,40
"St George's, University of London","st-georges-university-of-london","Equal",5,50
"St George's, University of London","st-georges-university-of-london","Equal",6,60
"St George's, University of London","st-georges-university-of-london","Equal",7,70
"St George's, University of London","st-georges-university-of-london","Equal",8,80
"St George's, University of London","st-georges-university-of-london","Equal",9,90
"St George's, University of London","st-georges-university-of-london","Equal",10,100
"St George's, University of London","st-georges-university-of-london","Required",0,0
"St George's, University of London","st-georges-university-of-london","Required",1,5
"St George's, University of London","st-georges-university-of-london","Required",2,10
"St George's, University of London","st-georges-university-of-london","Required",3,17
"St George's, University of London","st-georges-university-of-london","Required",4,26
"St George's, University of London","st-georges-university-of-london","Required",5,35
"St George's, University of London","st-georges-university-of-london","Required",6,45
"St George's, University of London","st-georges-university-of-london","Required",7,56
"St George's, University of London","st-georges-university-of-london","Required",8,68
"St George's, University of London","st-georges-university-of-london","Required",9,82
"St George's, University of London","st-georges-university-of-london","Required",10,100
