"university_name","university_slug","group","decile","cumulative_percentage"
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",0,0
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",1,8
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",2,17
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",3,27
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",4,39
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",5,48
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",6,57
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",7,67
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",8,78
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",9,90
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",10,100
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",0,0
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",1,10
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",2,20
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",3,30
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",4,40
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",5,50
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",6,60
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",7,70
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",8,80
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",9,90
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Equal",10,100
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",0,0
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",1,5
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",2,11
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",3,18
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",4,27
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",5,37
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",6,48
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",7,59
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",8,71
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",9,84
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Required",10,100
