"university_name","university_slug","group","decile","cumulative_percentage"
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",0,0
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",1,4
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",2,9
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",3,16
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",4,25
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",5,35
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",6,46
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",7,58
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",8,72
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",9,87
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",10,100
"The Nottingham Trent University","the-nottingham-trent-university","Equal",0,0
"The Nottingham Trent University","the-nottingham-trent-university","Equal",1,10
"The Nottingham Trent University","the-nottingham-trent-university","Equal",2,20
"The Nottingham Trent University","the-nottingham-trent-university","Equal",3,30
"The Nottingham Trent University","the-nottingham-trent-university","Equal",4,40
"The Nottingham Trent University","the-nottingham-trent-university","Equal",5,50
"The Nottingham Trent University","the-nottingham-trent-university","Equal",6,60
"The Nottingham Trent University","the-nottingham-trent-university","Equal",7,70
"The Nottingham Trent University","the-nottingham-trent-university","Equal",8,80
"The Nottingham Trent University","the-nottingham-trent-university","Equal",9,90
"The Nottingham Trent University","the-nottingham-trent-university","Equal",10,100
"The Nottingham Trent University","the-nottingham-trent-university","Required",0,0
"The Nottingham Trent University","the-nottingham-trent-university","Required",1,5
"The Nottingham Trent University","the-nottingham-trent-university","Required",2,11
"The Nottingham Trent University","the-nottingham-trent-university","Required",3,19
"The Nottingham Trent University","the-nottingham-trent-university","Required",4,28
"The Nottingham Trent University","the-nottingham-trent-university","Required",5,37
"The Nottingham Trent University","the-nottingham-trent-university","Required",6,47
"The Nottingham Trent University","the-nottingham-trent-university","Required",7,57
"The Nottingham Trent University","the-nottingham-trent-university","Required",8,69
"The Nottingham Trent University","the-nottingham-trent-university","Required",9,82
"The Nottingham Trent University","the-nottingham-trent-university","Required",10,100
