"university_name","university_slug","group","decile","cumulative_percentage"
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",0,0
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",1,4
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",2,9
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",3,16
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",4,25
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",5,35
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",6,46
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",7,58
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",8,72
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",9,87
"The Nottingham Trent University","the-nottingham-trent-university","Enrolment",10,100
"The Nottingham Trent University","the-nottingham-trent-university","Equal",0,0
"The Nottingham Trent University","the-nottingham-trent-university","Equal",1,10
"The Nottingham Trent University","the-nottingham-trent-university","Equal",2,20
"The Nottingham Trent University","the-nottingham-trent-university","Equal",3,30
"The Nottingham Trent University","the-nottingham-trent-university","Equal",4,40
"The Nottingham Trent University","the-nottingham-trent-university","Equal",5,50
"The Nottingham Trent University","the-nottingham-trent-university","Equal",6,60
"The Nottingham Trent University","the-nottingham-trent-university","Equal",7,70
"The Nottingham Trent University","the-nottingham-trent-university","Equal",8,80
"The Nottingham Trent University","the-nottingham-trent-university","Equal",9,90
"The Nottingham Trent University","the-nottingham-trent-university","Equal",10,100
"The Nottingham Trent University","the-nottingham-trent-university","Required",0,0
"The Nottingham Trent University","the-nottingham-trent-university","Required",1,5
"The Nottingham Trent University","the-nottingham-trent-university","Required",2,11
"The Nottingham Trent University","the-nottingham-trent-university","Required",3,18
"The Nottingham Trent University","the-nottingham-trent-university","Required",4,27
"The Nottingham Trent University","the-nottingham-trent-university","Required",5,37
"The Nottingham Trent University","the-nottingham-trent-university","Required",6,48
"The Nottingham Trent University","the-nottingham-trent-university","Required",7,59
"The Nottingham Trent University","the-nottingham-trent-university","Required",8,71
"The Nottingham Trent University","the-nottingham-trent-university","Required",9,84
"The Nottingham Trent University","the-nottingham-trent-university","Required",10,100
