"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Birmingham","the-university-of-birmingham","Enrolment",0,0
"The University of Birmingham","the-university-of-birmingham","Enrolment",1,4
"The University of Birmingham","the-university-of-birmingham","Enrolment",2,8
"The University of Birmingham","the-university-of-birmingham","Enrolment",3,14
"The University of Birmingham","the-university-of-birmingham","Enrolment",4,20
"The University of Birmingham","the-university-of-birmingham","Enrolment",5,27
"The University of Birmingham","the-university-of-birmingham","Enrolment",6,35
"The University of Birmingham","the-university-of-birmingham","Enrolment",7,45
"The University of Birmingham","the-university-of-birmingham","Enrolment",8,57
"The University of Birmingham","the-university-of-birmingham","Enrolment",9,72
"The University of Birmingham","the-university-of-birmingham","Enrolment",10,100
"The University of Birmingham","the-university-of-birmingham","Equal",0,0
"The University of Birmingham","the-university-of-birmingham","Equal",1,10
"The University of Birmingham","the-university-of-birmingham","Equal",2,20
"The University of Birmingham","the-university-of-birmingham","Equal",3,30
"The University of Birmingham","the-university-of-birmingham","Equal",4,40
"The University of Birmingham","the-university-of-birmingham","Equal",5,50
"The University of Birmingham","the-university-of-birmingham","Equal",6,60
"The University of Birmingham","the-university-of-birmingham","Equal",7,70
"The University of Birmingham","the-university-of-birmingham","Equal",8,80
"The University of Birmingham","the-university-of-birmingham","Equal",9,90
"The University of Birmingham","the-university-of-birmingham","Equal",10,100
"The University of Birmingham","the-university-of-birmingham","Required",0,0
"The University of Birmingham","the-university-of-birmingham","Required",1,4
"The University of Birmingham","the-university-of-birmingham","Required",2,9
"The University of Birmingham","the-university-of-birmingham","Required",3,16
"The University of Birmingham","the-university-of-birmingham","Required",4,24
"The University of Birmingham","the-university-of-birmingham","Required",5,33
"The University of Birmingham","the-university-of-birmingham","Required",6,43
"The University of Birmingham","the-university-of-birmingham","Required",7,54
"The University of Birmingham","the-university-of-birmingham","Required",8,66
"The University of Birmingham","the-university-of-birmingham","Required",9,80
"The University of Birmingham","the-university-of-birmingham","Required",10,100
