"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Bradford","the-university-of-bradford","Enrolment",0,0
"The University of Bradford","the-university-of-bradford","Enrolment",1,16
"The University of Bradford","the-university-of-bradford","Enrolment",2,30
"The University of Bradford","the-university-of-bradford","Enrolment",3,43
"The University of Bradford","the-university-of-bradford","Enrolment",4,68
"The University of Bradford","the-university-of-bradford","Enrolment",5,80
"The University of Bradford","the-university-of-bradford","Enrolment",6,85
"The University of Bradford","the-university-of-bradford","Enrolment",7,89
"The University of Bradford","the-university-of-bradford","Enrolment",8,92
"The University of Bradford","the-university-of-bradford","Enrolment",9,94
"The University of Bradford","the-university-of-bradford","Enrolment",10,100
"The University of Bradford","the-university-of-bradford","Equal",0,0
"The University of Bradford","the-university-of-bradford","Equal",1,10
"The University of Bradford","the-university-of-bradford","Equal",2,20
"The University of Bradford","the-university-of-bradford","Equal",3,30
"The University of Bradford","the-university-of-bradford","Equal",4,40
"The University of Bradford","the-university-of-bradford","Equal",5,50
"The University of Bradford","the-university-of-bradford","Equal",6,60
"The University of Bradford","the-university-of-bradford","Equal",7,70
"The University of Bradford","the-university-of-bradford","Equal",8,80
"The University of Bradford","the-university-of-bradford","Equal",9,90
"The University of Bradford","the-university-of-bradford","Equal",10,100
"The University of Bradford","the-university-of-bradford","Required",0,0
"The University of Bradford","the-university-of-bradford","Required",1,5
"The University of Bradford","the-university-of-bradford","Required",2,11
"The University of Bradford","the-university-of-bradford","Required",3,19
"The University of Bradford","the-university-of-bradford","Required",4,28
"The University of Bradford","the-university-of-bradford","Required",5,38
"The University of Bradford","the-university-of-bradford","Required",6,49
"The University of Bradford","the-university-of-bradford","Required",7,60
"The University of Bradford","the-university-of-bradford","Required",8,72
"The University of Bradford","the-university-of-bradford","Required",9,85
"The University of Bradford","the-university-of-bradford","Required",10,100
