"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Bristol","the-university-of-bristol","Enrolment",0,0
"The University of Bristol","the-university-of-bristol","Enrolment",1,2
"The University of Bristol","the-university-of-bristol","Enrolment",2,4
"The University of Bristol","the-university-of-bristol","Enrolment",3,7
"The University of Bristol","the-university-of-bristol","Enrolment",4,11
"The University of Bristol","the-university-of-bristol","Enrolment",5,17
"The University of Bristol","the-university-of-bristol","Enrolment",6,26
"The University of Bristol","the-university-of-bristol","Enrolment",7,37
"The University of Bristol","the-university-of-bristol","Enrolment",8,49
"The University of Bristol","the-university-of-bristol","Enrolment",9,62
"The University of Bristol","the-university-of-bristol","Enrolment",10,100
"The University of Bristol","the-university-of-bristol","Equal",0,0
"The University of Bristol","the-university-of-bristol","Equal",1,10
"The University of Bristol","the-university-of-bristol","Equal",2,20
"The University of Bristol","the-university-of-bristol","Equal",3,30
"The University of Bristol","the-university-of-bristol","Equal",4,40
"The University of Bristol","the-university-of-bristol","Equal",5,50
"The University of Bristol","the-university-of-bristol","Equal",6,60
"The University of Bristol","the-university-of-bristol","Equal",7,70
"The University of Bristol","the-university-of-bristol","Equal",8,80
"The University of Bristol","the-university-of-bristol","Equal",9,90
"The University of Bristol","the-university-of-bristol","Equal",10,100
"The University of Bristol","the-university-of-bristol","Required",0,0
"The University of Bristol","the-university-of-bristol","Required",1,2
"The University of Bristol","the-university-of-bristol","Required",2,5
"The University of Bristol","the-university-of-bristol","Required",3,10
"The University of Bristol","the-university-of-bristol","Required",4,17
"The University of Bristol","the-university-of-bristol","Required",5,25
"The University of Bristol","the-university-of-bristol","Required",6,35
"The University of Bristol","the-university-of-bristol","Required",7,46
"The University of Bristol","the-university-of-bristol","Required",8,59
"The University of Bristol","the-university-of-bristol","Required",9,75
"The University of Bristol","the-university-of-bristol","Required",10,100
