"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Chichester","the-university-of-chichester","Enrolment",0,0
"The University of Chichester","the-university-of-chichester","Enrolment",1,3
"The University of Chichester","the-university-of-chichester","Enrolment",2,8
"The University of Chichester","the-university-of-chichester","Enrolment",3,14
"The University of Chichester","the-university-of-chichester","Enrolment",4,20
"The University of Chichester","the-university-of-chichester","Enrolment",5,31
"The University of Chichester","the-university-of-chichester","Enrolment",6,45
"The University of Chichester","the-university-of-chichester","Enrolment",7,61
"The University of Chichester","the-university-of-chichester","Enrolment",8,78
"The University of Chichester","the-university-of-chichester","Enrolment",9,92
"The University of Chichester","the-university-of-chichester","Enrolment",10,100
"The University of Chichester","the-university-of-chichester","Equal",0,0
"The University of Chichester","the-university-of-chichester","Equal",1,10
"The University of Chichester","the-university-of-chichester","Equal",2,20
"The University of Chichester","the-university-of-chichester","Equal",3,30
"The University of Chichester","the-university-of-chichester","Equal",4,40
"The University of Chichester","the-university-of-chichester","Equal",5,50
"The University of Chichester","the-university-of-chichester","Equal",6,60
"The University of Chichester","the-university-of-chichester","Equal",7,70
"The University of Chichester","the-university-of-chichester","Equal",8,80
"The University of Chichester","the-university-of-chichester","Equal",9,90
"The University of Chichester","the-university-of-chichester","Equal",10,100
"The University of Chichester","the-university-of-chichester","Required",0,0
"The University of Chichester","the-university-of-chichester","Required",1,5
"The University of Chichester","the-university-of-chichester","Required",2,11
"The University of Chichester","the-university-of-chichester","Required",3,18
"The University of Chichester","the-university-of-chichester","Required",4,27
"The University of Chichester","the-university-of-chichester","Required",5,37
"The University of Chichester","the-university-of-chichester","Required",6,48
"The University of Chichester","the-university-of-chichester","Required",7,59
"The University of Chichester","the-university-of-chichester","Required",8,71
"The University of Chichester","the-university-of-chichester","Required",9,84
"The University of Chichester","the-university-of-chichester","Required",10,100
