"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Greenwich","the-university-of-greenwich","Enrolment",0,0
"The University of Greenwich","the-university-of-greenwich","Enrolment",1,16
"The University of Greenwich","the-university-of-greenwich","Enrolment",2,31
"The University of Greenwich","the-university-of-greenwich","Enrolment",3,46
"The University of Greenwich","the-university-of-greenwich","Enrolment",4,61
"The University of Greenwich","the-university-of-greenwich","Enrolment",5,70
"The University of Greenwich","the-university-of-greenwich","Enrolment",6,79
"The University of Greenwich","the-university-of-greenwich","Enrolment",7,85
"The University of Greenwich","the-university-of-greenwich","Enrolment",8,91
"The University of Greenwich","the-university-of-greenwich","Enrolment",9,96
"The University of Greenwich","the-university-of-greenwich","Enrolment",10,100
"The University of Greenwich","the-university-of-greenwich","Equal",0,0
"The University of Greenwich","the-university-of-greenwich","Equal",1,10
"The University of Greenwich","the-university-of-greenwich","Equal",2,20
"The University of Greenwich","the-university-of-greenwich","Equal",3,30
"The University of Greenwich","the-university-of-greenwich","Equal",4,40
"The University of Greenwich","the-university-of-greenwich","Equal",5,50
"The University of Greenwich","the-university-of-greenwich","Equal",6,60
"The University of Greenwich","the-university-of-greenwich","Equal",7,70
"The University of Greenwich","the-university-of-greenwich","Equal",8,80
"The University of Greenwich","the-university-of-greenwich","Equal",9,90
"The University of Greenwich","the-university-of-greenwich","Equal",10,100
"The University of Greenwich","the-university-of-greenwich","Required",0,0
"The University of Greenwich","the-university-of-greenwich","Required",1,10
"The University of Greenwich","the-university-of-greenwich","Required",2,21
"The University of Greenwich","the-university-of-greenwich","Required",3,33
"The University of Greenwich","the-university-of-greenwich","Required",4,46
"The University of Greenwich","the-university-of-greenwich","Required",5,56
"The University of Greenwich","the-university-of-greenwich","Required",6,64
"The University of Greenwich","the-university-of-greenwich","Required",7,71
"The University of Greenwich","the-university-of-greenwich","Required",8,78
"The University of Greenwich","the-university-of-greenwich","Required",9,85
"The University of Greenwich","the-university-of-greenwich","Required",10,100
