"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Leicester","the-university-of-leicester","Enrolment",0,0
"The University of Leicester","the-university-of-leicester","Enrolment",1,5
"The University of Leicester","the-university-of-leicester","Enrolment",2,13
"The University of Leicester","the-university-of-leicester","Enrolment",3,24
"The University of Leicester","the-university-of-leicester","Enrolment",4,36
"The University of Leicester","the-university-of-leicester","Enrolment",5,46
"The University of Leicester","the-university-of-leicester","Enrolment",6,56
"The University of Leicester","the-university-of-leicester","Enrolment",7,65
"The University of Leicester","the-university-of-leicester","Enrolment",8,75
"The University of Leicester","the-university-of-leicester","Enrolment",9,86
"The University of Leicester","the-university-of-leicester","Enrolment",10,100
"The University of Leicester","the-university-of-leicester","Equal",0,0
"The University of Leicester","the-university-of-leicester","Equal",1,10
"The University of Leicester","the-university-of-leicester","Equal",2,20
"The University of Leicester","the-university-of-leicester","Equal",3,30
"The University of Leicester","the-university-of-leicester","Equal",4,40
"The University of Leicester","the-university-of-leicester","Equal",5,50
"The University of Leicester","the-university-of-leicester","Equal",6,60
"The University of Leicester","the-university-of-leicester","Equal",7,70
"The University of Leicester","the-university-of-leicester","Equal",8,80
"The University of Leicester","the-university-of-leicester","Equal",9,90
"The University of Leicester","the-university-of-leicester","Equal",10,100
"The University of Leicester","the-university-of-leicester","Required",0,0
"The University of Leicester","the-university-of-leicester","Required",1,5
"The University of Leicester","the-university-of-leicester","Required",2,11
"The University of Leicester","the-university-of-leicester","Required",3,19
"The University of Leicester","the-university-of-leicester","Required",4,30
"The University of Leicester","the-university-of-leicester","Required",5,40
"The University of Leicester","the-university-of-leicester","Required",6,50
"The University of Leicester","the-university-of-leicester","Required",7,60
"The University of Leicester","the-university-of-leicester","Required",8,72
"The University of Leicester","the-university-of-leicester","Required",9,86
"The University of Leicester","the-university-of-leicester","Required",10,100
