"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Lincoln","the-university-of-lincoln","Enrolment",0,0
"The University of Lincoln","the-university-of-lincoln","Enrolment",1,3
"The University of Lincoln","the-university-of-lincoln","Enrolment",2,7
"The University of Lincoln","the-university-of-lincoln","Enrolment",3,14
"The University of Lincoln","the-university-of-lincoln","Enrolment",4,23
"The University of Lincoln","the-university-of-lincoln","Enrolment",5,34
"The University of Lincoln","the-university-of-lincoln","Enrolment",6,48
"The University of Lincoln","the-university-of-lincoln","Enrolment",7,63
"The University of Lincoln","the-university-of-lincoln","Enrolment",8,78
"The University of Lincoln","the-university-of-lincoln","Enrolment",9,94
"The University of Lincoln","the-university-of-lincoln","Enrolment",10,100
"The University of Lincoln","the-university-of-lincoln","Equal",0,0
"The University of Lincoln","the-university-of-lincoln","Equal",1,10
"The University of Lincoln","the-university-of-lincoln","Equal",2,20
"The University of Lincoln","the-university-of-lincoln","Equal",3,30
"The University of Lincoln","the-university-of-lincoln","Equal",4,40
"The University of Lincoln","the-university-of-lincoln","Equal",5,50
"The University of Lincoln","the-university-of-lincoln","Equal",6,60
"The University of Lincoln","the-university-of-lincoln","Equal",7,70
"The University of Lincoln","the-university-of-lincoln","Equal",8,80
"The University of Lincoln","the-university-of-lincoln","Equal",9,90
"The University of Lincoln","the-university-of-lincoln","Equal",10,100
"The University of Lincoln","the-university-of-lincoln","Required",0,0
"The University of Lincoln","the-university-of-lincoln","Required",1,5
"The University of Lincoln","the-university-of-lincoln","Required",2,11
"The University of Lincoln","the-university-of-lincoln","Required",3,18
"The University of Lincoln","the-university-of-lincoln","Required",4,27
"The University of Lincoln","the-university-of-lincoln","Required",5,37
"The University of Lincoln","the-university-of-lincoln","Required",6,48
"The University of Lincoln","the-university-of-lincoln","Required",7,59
"The University of Lincoln","the-university-of-lincoln","Required",8,71
"The University of Lincoln","the-university-of-lincoln","Required",9,84
"The University of Lincoln","the-university-of-lincoln","Required",10,100
