"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Southampton","the-university-of-southampton","Enrolment",0,0
"The University of Southampton","the-university-of-southampton","Enrolment",1,2
"The University of Southampton","the-university-of-southampton","Enrolment",2,5
"The University of Southampton","the-university-of-southampton","Enrolment",3,9
"The University of Southampton","the-university-of-southampton","Enrolment",4,15
"The University of Southampton","the-university-of-southampton","Enrolment",5,24
"The University of Southampton","the-university-of-southampton","Enrolment",6,35
"The University of Southampton","the-university-of-southampton","Enrolment",7,48
"The University of Southampton","the-university-of-southampton","Enrolment",8,62
"The University of Southampton","the-university-of-southampton","Enrolment",9,79
"The University of Southampton","the-university-of-southampton","Enrolment",10,100
"The University of Southampton","the-university-of-southampton","Equal",0,0
"The University of Southampton","the-university-of-southampton","Equal",1,10
"The University of Southampton","the-university-of-southampton","Equal",2,20
"The University of Southampton","the-university-of-southampton","Equal",3,30
"The University of Southampton","the-university-of-southampton","Equal",4,40
"The University of Southampton","the-university-of-southampton","Equal",5,50
"The University of Southampton","the-university-of-southampton","Equal",6,60
"The University of Southampton","the-university-of-southampton","Equal",7,70
"The University of Southampton","the-university-of-southampton","Equal",8,80
"The University of Southampton","the-university-of-southampton","Equal",9,90
"The University of Southampton","the-university-of-southampton","Equal",10,100
"The University of Southampton","the-university-of-southampton","Required",0,0
"The University of Southampton","the-university-of-southampton","Required",1,2
"The University of Southampton","the-university-of-southampton","Required",2,5
"The University of Southampton","the-university-of-southampton","Required",3,10
"The University of Southampton","the-university-of-southampton","Required",4,17
"The University of Southampton","the-university-of-southampton","Required",5,25
"The University of Southampton","the-university-of-southampton","Required",6,35
"The University of Southampton","the-university-of-southampton","Required",7,46
"The University of Southampton","the-university-of-southampton","Required",8,59
"The University of Southampton","the-university-of-southampton","Required",9,75
"The University of Southampton","the-university-of-southampton","Required",10,100
