"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Surrey","the-university-of-surrey","Enrolment",0,0
"The University of Surrey","the-university-of-surrey","Enrolment",1,4
"The University of Surrey","the-university-of-surrey","Enrolment",2,10
"The University of Surrey","the-university-of-surrey","Enrolment",3,16
"The University of Surrey","the-university-of-surrey","Enrolment",4,25
"The University of Surrey","the-university-of-surrey","Enrolment",5,36
"The University of Surrey","the-university-of-surrey","Enrolment",6,48
"The University of Surrey","the-university-of-surrey","Enrolment",7,59
"The University of Surrey","the-university-of-surrey","Enrolment",8,69
"The University of Surrey","the-university-of-surrey","Enrolment",9,81
"The University of Surrey","the-university-of-surrey","Enrolment",10,100
"The University of Surrey","the-university-of-surrey","Equal",0,0
"The University of Surrey","the-university-of-surrey","Equal",1,10
"The University of Surrey","the-university-of-surrey","Equal",2,20
"The University of Surrey","the-university-of-surrey","Equal",3,30
"The University of Surrey","the-university-of-surrey","Equal",4,40
"The University of Surrey","the-university-of-surrey","Equal",5,50
"The University of Surrey","the-university-of-surrey","Equal",6,60
"The University of Surrey","the-university-of-surrey","Equal",7,70
"The University of Surrey","the-university-of-surrey","Equal",8,80
"The University of Surrey","the-university-of-surrey","Equal",9,90
"The University of Surrey","the-university-of-surrey","Equal",10,100
"The University of Surrey","the-university-of-surrey","Required",0,0
"The University of Surrey","the-university-of-surrey","Required",1,4
"The University of Surrey","the-university-of-surrey","Required",2,9
"The University of Surrey","the-university-of-surrey","Required",3,15
"The University of Surrey","the-university-of-surrey","Required",4,23
"The University of Surrey","the-university-of-surrey","Required",5,32
"The University of Surrey","the-university-of-surrey","Required",6,41
"The University of Surrey","the-university-of-surrey","Required",7,50
"The University of Surrey","the-university-of-surrey","Required",8,61
"The University of Surrey","the-university-of-surrey","Required",9,74
"The University of Surrey","the-university-of-surrey","Required",10,100
