"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Warwick","the-university-of-warwick","Enrolment",0,0
"The University of Warwick","the-university-of-warwick","Enrolment",1,4
"The University of Warwick","the-university-of-warwick","Enrolment",2,8
"The University of Warwick","the-university-of-warwick","Enrolment",3,14
"The University of Warwick","the-university-of-warwick","Enrolment",4,23
"The University of Warwick","the-university-of-warwick","Enrolment",5,31
"The University of Warwick","the-university-of-warwick","Enrolment",6,41
"The University of Warwick","the-university-of-warwick","Enrolment",7,51
"The University of Warwick","the-university-of-warwick","Enrolment",8,62
"The University of Warwick","the-university-of-warwick","Enrolment",9,75
"The University of Warwick","the-university-of-warwick","Enrolment",10,100
"The University of Warwick","the-university-of-warwick","Equal",0,0
"The University of Warwick","the-university-of-warwick","Equal",1,10
"The University of Warwick","the-university-of-warwick","Equal",2,20
"The University of Warwick","the-university-of-warwick","Equal",3,30
"The University of Warwick","the-university-of-warwick","Equal",4,40
"The University of Warwick","the-university-of-warwick","Equal",5,50
"The University of Warwick","the-university-of-warwick","Equal",6,60
"The University of Warwick","the-university-of-warwick","Equal",7,70
"The University of Warwick","the-university-of-warwick","Equal",8,80
"The University of Warwick","the-university-of-warwick","Equal",9,90
"The University of Warwick","the-university-of-warwick","Equal",10,100
"The University of Warwick","the-university-of-warwick","Required",0,0
"The University of Warwick","the-university-of-warwick","Required",1,2
"The University of Warwick","the-university-of-warwick","Required",2,5
"The University of Warwick","the-university-of-warwick","Required",3,10
"The University of Warwick","the-university-of-warwick","Required",4,16
"The University of Warwick","the-university-of-warwick","Required",5,23
"The University of Warwick","the-university-of-warwick","Required",6,32
"The University of Warwick","the-university-of-warwick","Required",7,43
"The University of Warwick","the-university-of-warwick","Required",8,55
"The University of Warwick","the-university-of-warwick","Required",9,73
"The University of Warwick","the-university-of-warwick","Required",10,100
