"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",0,0
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",1,15
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",2,29
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",3,43
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",4,59
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",5,70
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",6,78
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",7,85
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",8,90
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",9,96
"The University of Wolverhampton","the-university-of-wolverhampton","Enrolment",10,100
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",0,0
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",1,10
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",2,20
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",3,30
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",4,40
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",5,50
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",6,60
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",7,70
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",8,80
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",9,90
"The University of Wolverhampton","the-university-of-wolverhampton","Equal",10,100
"The University of Wolverhampton","the-university-of-wolverhampton","Required",0,0
"The University of Wolverhampton","the-university-of-wolverhampton","Required",1,5
"The University of Wolverhampton","the-university-of-wolverhampton","Required",2,11
"The University of Wolverhampton","the-university-of-wolverhampton","Required",3,19
"The University of Wolverhampton","the-university-of-wolverhampton","Required",4,28
"The University of Wolverhampton","the-university-of-wolverhampton","Required",5,38
"The University of Wolverhampton","the-university-of-wolverhampton","Required",6,49
"The University of Wolverhampton","the-university-of-wolverhampton","Required",7,60
"The University of Wolverhampton","the-university-of-wolverhampton","Required",8,72
"The University of Wolverhampton","the-university-of-wolverhampton","Required",9,85
"The University of Wolverhampton","the-university-of-wolverhampton","Required",10,100
