"university_name","university_slug","group","decile","cumulative_percentage"
"The University of York","the-university-of-york","Enrolment",0,0
"The University of York","the-university-of-york","Enrolment",1,2
"The University of York","the-university-of-york","Enrolment",2,5
"The University of York","the-university-of-york","Enrolment",3,9
"The University of York","the-university-of-york","Enrolment",4,15
"The University of York","the-university-of-york","Enrolment",5,23
"The University of York","the-university-of-york","Enrolment",6,34
"The University of York","the-university-of-york","Enrolment",7,46
"The University of York","the-university-of-york","Enrolment",8,60
"The University of York","the-university-of-york","Enrolment",9,76
"The University of York","the-university-of-york","Enrolment",10,100
"The University of York","the-university-of-york","Equal",0,0
"The University of York","the-university-of-york","Equal",1,10
"The University of York","the-university-of-york","Equal",2,20
"The University of York","the-university-of-york","Equal",3,30
"The University of York","the-university-of-york","Equal",4,40
"The University of York","the-university-of-york","Equal",5,50
"The University of York","the-university-of-york","Equal",6,60
"The University of York","the-university-of-york","Equal",7,70
"The University of York","the-university-of-york","Equal",8,80
"The University of York","the-university-of-york","Equal",9,90
"The University of York","the-university-of-york","Equal",10,100
"The University of York","the-university-of-york","Required",0,0
"The University of York","the-university-of-york","Required",1,4
"The University of York","the-university-of-york","Required",2,9
"The University of York","the-university-of-york","Required",3,15
"The University of York","the-university-of-york","Required",4,23
"The University of York","the-university-of-york","Required",5,32
"The University of York","the-university-of-york","Required",6,42
"The University of York","the-university-of-york","Required",7,53
"The University of York","the-university-of-york","Required",8,66
"The University of York","the-university-of-york","Required",9,83
"The University of York","the-university-of-york","Required",10,100
