"university_name","university_slug","group","decile","cumulative_percentage"
"University of Durham","university-of-durham","Enrolment",0,0
"University of Durham","university-of-durham","Enrolment",1,1
"University of Durham","university-of-durham","Enrolment",2,3
"University of Durham","university-of-durham","Enrolment",3,6
"University of Durham","university-of-durham","Enrolment",4,11
"University of Durham","university-of-durham","Enrolment",5,18
"University of Durham","university-of-durham","Enrolment",6,25
"University of Durham","university-of-durham","Enrolment",7,35
"University of Durham","university-of-durham","Enrolment",8,46
"University of Durham","university-of-durham","Enrolment",9,60
"University of Durham","university-of-durham","Enrolment",10,100
"University of Durham","university-of-durham","Equal",0,0
"University of Durham","university-of-durham","Equal",1,10
"University of Durham","university-of-durham","Equal",2,20
"University of Durham","university-of-durham","Equal",3,30
"University of Durham","university-of-durham","Equal",4,40
"University of Durham","university-of-durham","Equal",5,50
"University of Durham","university-of-durham","Equal",6,60
"University of Durham","university-of-durham","Equal",7,70
"University of Durham","university-of-durham","Equal",8,80
"University of Durham","university-of-durham","Equal",9,90
"University of Durham","university-of-durham","Equal",10,100
"University of Durham","university-of-durham","Required",0,0
"University of Durham","university-of-durham","Required",1,2
"University of Durham","university-of-durham","Required",2,5
"University of Durham","university-of-durham","Required",3,10
"University of Durham","university-of-durham","Required",4,17
"University of Durham","university-of-durham","Required",5,25
"University of Durham","university-of-durham","Required",6,35
"University of Durham","university-of-durham","Required",7,46
"University of Durham","university-of-durham","Required",8,59
"University of Durham","university-of-durham","Required",9,75
"University of Durham","university-of-durham","Required",10,100
