"university_name","university_slug","group","decile","cumulative_percentage"
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",0,0
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",1,4
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",2,10
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",3,18
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",4,29
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",5,39
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",6,49
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",7,59
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",8,71
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",9,88
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Enrolment",10,100
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",0,0
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",1,10
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",2,20
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",3,30
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",4,40
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",5,50
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",6,60
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",7,70
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",8,80
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",9,90
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Equal",10,100
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",0,0
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",1,5
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",2,11
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",3,18
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",4,27
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",5,37
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",6,48
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",7,59
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",8,71
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",9,84
"University of Northumbria at Newcastle","university-of-northumbria-at-newcastle","Required",10,100
