"university_name","university_slug","group","decile","cumulative_percentage"
"University of Nottingham","university-of-nottingham","Enrolment",0,0
"University of Nottingham","university-of-nottingham","Enrolment",1,2
"University of Nottingham","university-of-nottingham","Enrolment",2,5
"University of Nottingham","university-of-nottingham","Enrolment",3,10
"University of Nottingham","university-of-nottingham","Enrolment",4,16
"University of Nottingham","university-of-nottingham","Enrolment",5,24
"University of Nottingham","university-of-nottingham","Enrolment",6,34
"University of Nottingham","university-of-nottingham","Enrolment",7,44
"University of Nottingham","university-of-nottingham","Enrolment",8,57
"University of Nottingham","university-of-nottingham","Enrolment",9,72
"University of Nottingham","university-of-nottingham","Enrolment",10,100
"University of Nottingham","university-of-nottingham","Equal",0,0
"University of Nottingham","university-of-nottingham","Equal",1,10
"University of Nottingham","university-of-nottingham","Equal",2,20
"University of Nottingham","university-of-nottingham","Equal",3,30
"University of Nottingham","university-of-nottingham","Equal",4,40
"University of Nottingham","university-of-nottingham","Equal",5,50
"University of Nottingham","university-of-nottingham","Equal",6,60
"University of Nottingham","university-of-nottingham","Equal",7,70
"University of Nottingham","university-of-nottingham","Equal",8,80
"University of Nottingham","university-of-nottingham","Equal",9,90
"University of Nottingham","university-of-nottingham","Equal",10,100
"University of Nottingham","university-of-nottingham","Required",0,0
"University of Nottingham","university-of-nottingham","Required",1,2
"University of Nottingham","university-of-nottingham","Required",2,5
"University of Nottingham","university-of-nottingham","Required",3,10
"University of Nottingham","university-of-nottingham","Required",4,17
"University of Nottingham","university-of-nottingham","Required",5,25
"University of Nottingham","university-of-nottingham","Required",6,34
"University of Nottingham","university-of-nottingham","Required",7,45
"University of Nottingham","university-of-nottingham","Required",8,59
"University of Nottingham","university-of-nottingham","Required",9,76
"University of Nottingham","university-of-nottingham","Required",10,100
