"university_name","university_slug","group","decile","cumulative_percentage"
"University of Plymouth","university-of-plymouth","Enrolment",0,0
"University of Plymouth","university-of-plymouth","Enrolment",1,3
"University of Plymouth","university-of-plymouth","Enrolment",2,8
"University of Plymouth","university-of-plymouth","Enrolment",3,15
"University of Plymouth","university-of-plymouth","Enrolment",4,22
"University of Plymouth","university-of-plymouth","Enrolment",5,33
"University of Plymouth","university-of-plymouth","Enrolment",6,48
"University of Plymouth","university-of-plymouth","Enrolment",7,64
"University of Plymouth","university-of-plymouth","Enrolment",8,78
"University of Plymouth","university-of-plymouth","Enrolment",9,90
"University of Plymouth","university-of-plymouth","Enrolment",10,100
"University of Plymouth","university-of-plymouth","Equal",0,0
"University of Plymouth","university-of-plymouth","Equal",1,10
"University of Plymouth","university-of-plymouth","Equal",2,20
"University of Plymouth","university-of-plymouth","Equal",3,30
"University of Plymouth","university-of-plymouth","Equal",4,40
"University of Plymouth","university-of-plymouth","Equal",5,50
"University of Plymouth","university-of-plymouth","Equal",6,60
"University of Plymouth","university-of-plymouth","Equal",7,70
"University of Plymouth","university-of-plymouth","Equal",8,80
"University of Plymouth","university-of-plymouth","Equal",9,90
"University of Plymouth","university-of-plymouth","Equal",10,100
"University of Plymouth","university-of-plymouth","Required",0,0
"University of Plymouth","university-of-plymouth","Required",1,5
"University of Plymouth","university-of-plymouth","Required",2,11
"University of Plymouth","university-of-plymouth","Required",3,18
"University of Plymouth","university-of-plymouth","Required",4,27
"University of Plymouth","university-of-plymouth","Required",5,37
"University of Plymouth","university-of-plymouth","Required",6,48
"University of Plymouth","university-of-plymouth","Required",7,59
"University of Plymouth","university-of-plymouth","Required",8,71
"University of Plymouth","university-of-plymouth","Required",9,84
"University of Plymouth","university-of-plymouth","Required",10,100
