"university_name","university_slug","group","decile","cumulative_percentage"
"University of the Arts, London","university-of-the-arts-london","Enrolment",0,0
"University of the Arts, London","university-of-the-arts-london","Enrolment",1,5
"University of the Arts, London","university-of-the-arts-london","Enrolment",2,11
"University of the Arts, London","university-of-the-arts-london","Enrolment",3,20
"University of the Arts, London","university-of-the-arts-london","Enrolment",4,29
"University of the Arts, London","university-of-the-arts-london","Enrolment",5,41
"University of the Arts, London","university-of-the-arts-london","Enrolment",6,50
"University of the Arts, London","university-of-the-arts-london","Enrolment",7,60
"University of the Arts, London","university-of-the-arts-london","Enrolment",8,71
"University of the Arts, London","university-of-the-arts-london","Enrolment",9,81
"University of the Arts, London","university-of-the-arts-london","Enrolment",10,100
"University of the Arts, London","university-of-the-arts-london","Equal",0,0
"University of the Arts, London","university-of-the-arts-london","Equal",1,10
"University of the Arts, London","university-of-the-arts-london","Equal",2,20
"University of the Arts, London","university-of-the-arts-london","Equal",3,30
"University of the Arts, London","university-of-the-arts-london","Equal",4,40
"University of the Arts, London","university-of-the-arts-london","Equal",5,50
"University of the Arts, London","university-of-the-arts-london","Equal",6,60
"University of the Arts, London","university-of-the-arts-london","Equal",7,70
"University of the Arts, London","university-of-the-arts-london","Equal",8,80
"University of the Arts, London","university-of-the-arts-london","Equal",9,90
"University of the Arts, London","university-of-the-arts-london","Equal",10,100
"University of the Arts, London","university-of-the-arts-london","Required",0,0
"University of the Arts, London","university-of-the-arts-london","Required",1,5
"University of the Arts, London","university-of-the-arts-london","Required",2,11
"University of the Arts, London","university-of-the-arts-london","Required",3,18
"University of the Arts, London","university-of-the-arts-london","Required",4,27
"University of the Arts, London","university-of-the-arts-london","Required",5,37
"University of the Arts, London","university-of-the-arts-london","Required",6,48
"University of the Arts, London","university-of-the-arts-london","Required",7,59
"University of the Arts, London","university-of-the-arts-london","Required",8,71
"University of the Arts, London","university-of-the-arts-london","Required",9,84
"University of the Arts, London","university-of-the-arts-london","Required",10,100
