"Rank","University name","Equal access"
1,"Middlesex University",173
2,"The University of East London",170
3,"The University of Bradford",147
4,"The University of Westminster",142
5,"London South Bank University",136
6,"Roehampton University",126
7,"Brunel University London",125
7,"The University of Greenwich",125
9,"The University of Wolverhampton",115
10,"City St George's, University of London",111
11,"The University of West London",96
12,"Aston University",83
13,"University of Bedfordshire",81
14,"Kingston University",72
14,"Queen Mary University of London",72
16,"Goldsmiths College",71
17,"Birmingham City University",66
18,"Coventry University",65
19,"The University of Northampton",61
20,"The University of Huddersfield",60
21,"University of Hertfordshire",57
22,"The University of Sunderland",32
22,"Teesside University",32
24,"The University of Essex",29
25,"Canterbury Christ Church University",25
26,"Ravensbourne University London",21
27,"The University of Salford",20
28,"Staffordshire University",18
29,"The University of Central Lancashire",10
29,"De Montfort University",10
31,"Leeds Trinity University",-2
32,"Liverpool Hope University",-5
33,"St Mary's University, Twickenham",-7
34,"Buckinghamshire New University",-19
34,"The Manchester Metropolitan University",-19
36,"The University of Kent",-21
37,"St George's, University of London",-22
38,"University of Derby",-25
39,"The University of Leicester",-44
40,"Liverpool John Moores University",-47
41,"Anglia Ruskin University",-48
42,"Edge Hill University",-52
42,"Keele University",-52
44,"The University of Hull",-53
45,"University for the Creative Arts",-56
46,"The University of Brighton",-59
46,"Sheffield Hallam University",-59
48,"University of Cumbria",-62
49,"University of Worcester",-66
50,"Norwich University of the Arts",-67
51,"University of Chester",-73
52,"Leeds Beckett University",-74
53,"Solent University",-75
54,"King's College London",-78
55,"University of the Arts, London",-82
55,"York St John University",-82
57,"University of Northumbria at Newcastle",-83
58,"The University of Lincoln",-86
59,"University of Plymouth",-89
60,"Bournemouth University",-91
61,"Royal Holloway and Bedford New College",-95
62,"The University of Chichester",-98
62,"The Nottingham Trent University",-98
64,"The University of Surrey",-102
65,"The University of East Anglia",-116
66,"The University of Sussex",-120
66,"The University of Winchester",-120
68,"University of Gloucestershire",-122
69,"University of the West of England, Bristol",-125
70,"Bath Spa University",-126
71,"University of Manchester",-130
72,"Falmouth University",-133
73,"Leeds Arts University",-135
74,"The University of Reading",-141
74,"The University of Warwick",-141
76,"London School of Economics and Political Science",-155
77,"Loughborough University",-157
77,"The University of Sheffield",-157
79,"The University of Liverpool",-161
80,"The University of Lancaster",-163
81,"The University of Birmingham",-168
82,"University College London",-170
83,"The University of Southampton",-171
84,"The University of York",-180
85,"The University of Leeds",-181
86,"University of Nottingham",-186
87,"Imperial College of Science, Technology and Medicine",-201
88,"Newcastle University",-214
89,"Oxford Brookes University",-223
90,"The University of Bristol",-235
91,"University of Durham",-245
92,"The University of Cambridge",-247
92,"The University of Exeter",-247
94,"The University of Oxford",-256
