"Rank","University name","Social mobility coefficient"
1,"Middlesex University",257
2,"The University of East London",253
3,"The University of Bradford",233
4,"The University of Westminster",228
5,"Brunel University London",219
5,"London South Bank University",219
7,"The University of Greenwich",211
8,"City St George's, University of London",210
8,"Roehampton University",210
10,"The University of Wolverhampton",198
11,"Aston University",184
12,"The University of West London",180
13,"Queen Mary University of London",178
14,"University of Bedfordshire",164
14,"Goldsmiths College",164
16,"Kingston University",155
17,"Coventry University",154
18,"Birmingham City University",152
19,"The University of Huddersfield",149
20,"University of Hertfordshire",146
21,"The University of Northampton",145
22,"Teesside University",120
23,"The University of Essex",117
23,"The University of Sunderland",117
25,"The University of Salford",111
26,"Canterbury Christ Church University",108
27,"Ravensbourne University London",107
28,"Staffordshire University",102
29,"The University of Central Lancashire",99
30,"De Montfort University",94
31,"Liverpool Hope University",84
32,"Leeds Trinity University",81
32,"St George's, University of London",81
34,"St Mary's University, Twickenham",79
35,"The University of Kent",77
36,"The Manchester Metropolitan University",72
37,"Buckinghamshire New University",64
38,"The University of Leicester",60
39,"University of Derby",59
40,"Liverpool John Moores University",44
41,"London School of Economics and Political Science",43
42,"Edge Hill University",41
42,"The University of Warwick",41
44,"Anglia Ruskin University",38
44,"The University of Hull",38
44,"Keele University",38
47,"King's College London",34
48,"University for the Creative Arts",33
49,"The University of Brighton",29
49,"Sheffield Hallam University",29
51,"Norwich University of the Arts",26
52,"University of Worcester",23
53,"University of Cumbria",22
54,"Imperial College of Science, Technology and Medicine",20
55,"University of Chester",16
56,"Leeds Beckett University",12
57,"University of the Arts, London",10
58,"Royal Holloway and Bedford New College",9
58,"Solent University",9
60,"University of Northumbria at Newcastle",8
60,"University College London",8
62,"The University of Lincoln",5
63,"The University of Surrey",2
63,"York St John University",2
65,"The University of Southampton",1
66,"Bournemouth University",0
66,"University of Plymouth",0
68,"The Nottingham Trent University",-7
69,"The University of Chichester",-9
70,"The University of Sussex",-14
71,"The University of East Anglia",-15
72,"University of Manchester",-18
72,"University of Nottingham",-18
74,"University of Gloucestershire",-31
74,"University of the West of England, Bristol",-31
76,"The University of Winchester",-32
77,"Bath Spa University",-35
78,"Leeds Arts University",-38
79,"The University of Sheffield",-40
80,"Falmouth University",-42
81,"The University of Reading",-43
82,"Loughborough University",-45
83,"The University of Liverpool",-49
84,"The University of Cambridge",-51
84,"The University of Lancaster",-51
86,"Newcastle University",-53
87,"The University of Birmingham",-54
88,"The University of Bristol",-63
88,"University of Durham",-63
90,"The University of Leeds",-66
90,"The University of York",-66
92,"The University of Oxford",-69
93,"The University of Exeter",-79
94,"Oxford Brookes University",-132
