"university_name","university_slug","group","decile","cumulative_percentage"
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",0,0
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",1,3
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",2,7
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",3,11
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",4,18
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",5,25
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",6,33
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",7,42
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",8,50
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",9,60
"Imperial College of Science, Technology and Medicine","imperial-college-of-science-technology-and-medicine","Enrolment",10,100
"University of Durham","university-of-durham","Enrolment",0,0
"University of Durham","university-of-durham","Enrolment",1,1
"University of Durham","university-of-durham","Enrolment",2,3
"University of Durham","university-of-durham","Enrolment",3,6
"University of Durham","university-of-durham","Enrolment",4,11
"University of Durham","university-of-durham","Enrolment",5,18
"University of Durham","university-of-durham","Enrolment",6,25
"University of Durham","university-of-durham","Enrolment",7,35
"University of Durham","university-of-durham","Enrolment",8,46
"University of Durham","university-of-durham","Enrolment",9,60
"University of Durham","university-of-durham","Enrolment",10,100
"The University of Kent","the-university-of-kent","Enrolment",0,0
"The University of Kent","the-university-of-kent","Enrolment",1,6
"The University of Kent","the-university-of-kent","Enrolment",2,14
"The University of Kent","the-university-of-kent","Enrolment",3,24
"The University of Kent","the-university-of-kent","Enrolment",4,37
"The University of Kent","the-university-of-kent","Enrolment",5,48
"The University of Kent","the-university-of-kent","Enrolment",6,60
"The University of Kent","the-university-of-kent","Enrolment",7,70
"The University of Kent","the-university-of-kent","Enrolment",8,80
"The University of Kent","the-university-of-kent","Enrolment",9,90
"The University of Kent","the-university-of-kent","Enrolment",10,100
"University of Manchester","university-of-manchester","Enrolment",0,0
"University of Manchester","university-of-manchester","Enrolment",1,4
"University of Manchester","university-of-manchester","Enrolment",2,9
"University of Manchester","university-of-manchester","Enrolment",3,15
"University of Manchester","university-of-manchester","Enrolment",4,24
"University of Manchester","university-of-manchester","Enrolment",5,33
"University of Manchester","university-of-manchester","Enrolment",6,41
"University of Manchester","university-of-manchester","Enrolment",7,52
"University of Manchester","university-of-manchester","Enrolment",8,64
"University of Manchester","university-of-manchester","Enrolment",9,78
"University of Manchester","university-of-manchester","Enrolment",10,100
"The University of Sussex","the-university-of-sussex","Enrolment",0,0
"The University of Sussex","the-university-of-sussex","Enrolment",1,3
"The University of Sussex","the-university-of-sussex","Enrolment",2,7
"The University of Sussex","the-university-of-sussex","Enrolment",3,13
"The University of Sussex","the-university-of-sussex","Enrolment",4,22
"The University of Sussex","the-university-of-sussex","Enrolment",5,32
"The University of Sussex","the-university-of-sussex","Enrolment",6,45
"The University of Sussex","the-university-of-sussex","Enrolment",7,56
"The University of Sussex","the-university-of-sussex","Enrolment",8,69
"The University of Sussex","the-university-of-sussex","Enrolment",9,83
"The University of Sussex","the-university-of-sussex","Enrolment",10,100
"Oxford Brookes University","oxford-brookes-university","Enrolment",0,0
"Oxford Brookes University","oxford-brookes-university","Enrolment",1,2
"Oxford Brookes University","oxford-brookes-university","Enrolment",2,5
"Oxford Brookes University","oxford-brookes-university","Enrolment",3,9
"Oxford Brookes University","oxford-brookes-university","Enrolment",4,14
"Oxford Brookes University","oxford-brookes-university","Enrolment",5,20
"Oxford Brookes University","oxford-brookes-university","Enrolment",6,28
"Oxford Brookes University","oxford-brookes-university","Enrolment",7,38
"Oxford Brookes University","oxford-brookes-university","Enrolment",8,49
"Oxford Brookes University","oxford-brookes-university","Enrolment",9,62
"Oxford Brookes University","oxford-brookes-university","Enrolment",10,100
"The University of Winchester","the-university-of-winchester","Enrolment",0,0
"The University of Winchester","the-university-of-winchester","Enrolment",1,2
"The University of Winchester","the-university-of-winchester","Enrolment",2,6
"The University of Winchester","the-university-of-winchester","Enrolment",3,12
"The University of Winchester","the-university-of-winchester","Enrolment",4,19
"The University of Winchester","the-university-of-winchester","Enrolment",5,30
"The University of Winchester","the-university-of-winchester","Enrolment",6,43
"The University of Winchester","the-university-of-winchester","Enrolment",7,57
"The University of Winchester","the-university-of-winchester","Enrolment",8,72
"The University of Winchester","the-university-of-winchester","Enrolment",9,89
"The University of Winchester","the-university-of-winchester","Enrolment",10,100
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",0,0
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",1,8
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",2,17
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",3,27
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",4,39
"The Manchester Metropolitan University","the-manchester-metropolitan-university","Enrolment",5,48
