"university_name","no_location","location","equal","social_mobility_coefficient_ranking","social_mobility_with_location","equal_access_ranking","university_slug"
"Anglia Ruskin University",38,27,-48,44,48,41,"anglia-ruskin-university"
"University of the Arts, London",10,-79,-82,57,90,55,"university-of-the-arts-london"
"Aston University",184,99,83,11,20,12,"aston-university"
"Bath Spa University",-35,-2,-126,77,68,70,"bath-spa-university"
"University of Bedfordshire",164,135,81,14,12,13,"university-of-bedfordshire"
"The University of Birmingham",-54,-103,-168,87,94,81,"the-university-of-birmingham"
"Birmingham City University",152,71,66,18,28,17,"birmingham-city-university"
"Bournemouth University",0,14,-91,66,57,60,"bournemouth-university"
"The University of Bradford",233,189,147,3,1,3,"the-university-of-bradford"
"The University of Brighton",29,41,-59,49,41,46,"the-university-of-brighton"
"The University of Bristol",-63,9,-235,88,59,90,"the-university-of-bristol"
"Brunel University London",219,187,125,5,2,7,"brunel-university-london"
"Buckinghamshire New University",64,81,-19,37,26,34,"buckinghamshire-new-university"
"The University of Cambridge",-51,-11,-247,84,73,92,"the-university-of-cambridge"
"Canterbury Christ Church University",108,117,25,26,16,25,"canterbury-christ-church-university"
"The University of Central Lancashire",99,87,10,29,23,29,"the-university-of-central-lancashire"
"University of Chester",16,27,-73,55,48,51,"university-of-chester"
"The University of Chichester",-9,7,-98,69,60,62,"the-university-of-chichester"
"City St George's, University of London",210,109,111,8,18,10,"city-st-georges-university-of-london"
"Coventry University",154,141,65,17,9,18,"coventry-university"
"University for the Creative Arts",33,67,-56,48,30,45,"university-for-the-creative-arts"
"University of Cumbria",22,30,-62,53,47,48,"university-of-cumbria"
"De Montfort University",94,66,10,30,31,29,"de-montfort-university"
"University of Derby",59,63,-25,39,33,38,"university-of-derby"
"University of Durham",-63,-49,-245,88,83,91,"university-of-durham"
"The University of East Anglia",-15,-11,-116,71,73,65,"the-university-of-east-anglia"
"The University of East London",253,141,170,2,9,2,"the-university-of-east-london"
"Edge Hill University",41,33,-52,42,44,42,"edge-hill-university"
"The University of Essex",117,108,29,23,19,24,"the-university-of-essex"
"The University of Exeter",-79,-57,-247,93,86,92,"the-university-of-exeter"
"Falmouth University",-42,-47,-133,80,82,72,"falmouth-university"
"University of Gloucestershire",-31,20,-122,74,54,68,"university-of-gloucestershire"
"Goldsmiths College",164,63,71,14,33,16,"goldsmiths-college"
"The University of Greenwich",211,110,125,7,17,7,"the-university-of-greenwich"
"University of Hertfordshire",146,126,57,20,13,21,"university-of-hertfordshire"
"The University of Huddersfield",149,119,60,19,15,20,"the-university-of-huddersfield"
"The University of Hull",38,27,-53,44,48,44,"the-university-of-hull"
"Imperial College of Science, Technology and Medicine",20,-4,-201,54,70,87,"imperial-college-of-science-technology-and-medicine"
"Keele University",38,32,-52,44,45,42,"keele-university"
