Time_period,Sample_size,Value,Unit,Ind_code,Ind_name,Area_type,Category_type,Category,SEB,LCI,UCI,SE,Area_name,Area_code,Value_note
2001,1520,0.395394737,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2002,1516,0.397757256,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2003,1457,0.421413864,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2004,1423,0.465214336,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2005,1567,0.388640715,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2006,1701,0.364491476,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2007,1608,0.427238806,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2008,2003,0.263105342,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2009,2453,0.185079494,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2010,2503,0.192968438,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2011,2689,0.172926739,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2012,2535,0.197633136,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2013,2357,0.243105643,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2014,1870,0.378609626,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2015,1688,0.441943128,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2016,1585,0.477602524,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2017,1463,0.561859193,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2018,1363,0.629493764,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2019,1290,0.628682171,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2020,1773,0.33784546,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
2021,1373,0.901675164,Rate,DR31,Vacancy rate,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001,
