Ind_code,Ind_name,Area_code,Area_name,Area_type,Age,SEB,Category_type,Category,Value,LCI,UCI,SE,Sample_size,Time_period,Unit,Value_note
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2014,Occupational level ,Higher professional,10.53,9.7852,11.2748,0.38,670,2014,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2015,Occupational level ,Higher professional,11.14,10.356,11.924,0.4,694,2015,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2016,Occupational level ,Higher professional,11.55,10.7464,12.3536,0.41,670,2016,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2017,Occupational level ,Higher professional,10.93,10.1264,11.7336,0.41,641,2017,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2018,Occupational level ,Higher professional,13.25,12.368,14.132,0.45,710,2018,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2019,Occupational level ,Higher professional,13.81,12.9084,14.7116,0.46,747,2019,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2020,Occupational level ,Higher professional,14.24,13.1228,15.3572,0.57,559,2020,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2021,Occupational level ,Higher professional,16.9,15.8612,17.9388,0.53,862,2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,Average,Occupational level ,Higher professional,12.79,12.4764,13.1036,0.16,5553,2014-2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2014,Occupational level ,Lower professional,27.28,,,,1833,2014,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2015,Occupational level ,Lower professional,26.47,,,,1771,2015,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2016,Occupational level ,Lower professional,25.97,,,,1689,2016,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2017,Occupational level ,Lower professional,26.79,,,,1673,2017,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2018,Occupational level ,Lower professional,27.45,,,,1619,2018,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2019,Occupational level ,Lower professional,28.24,,,,1651,2019,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2020,Occupational level ,Lower professional,30.45,,,,1222,2020,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2021,Occupational level ,Lower professional,27.02,,,,1441,2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,Average,Occupational level ,Lower professional,27.46,,,,12899,2014-2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2014,Occupational level ,Intermediate,21.62,,,,1616,2014,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2015,Occupational level ,Intermediate,22.58,,,,1612,2015,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2016,Occupational level ,Intermediate,22.4,,,,1565,2016,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2017,Occupational level ,Intermediate,22.7,,,,1522,2017,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2018,Occupational level ,Intermediate,22.64,,,,1438,2018,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2019,Occupational level ,Intermediate,21.42,,,,1329,2019,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2020,Occupational level ,Intermediate,22.12,,,,964,2020,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2021,Occupational level ,Intermediate,22.92,,,,1282,2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,Average,Occupational level ,Intermediate,22.3,,,,11328,2014-2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2014,Occupational level ,Higher working,25.06,,,,2058,2014,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2015,Occupational level ,Higher working,24.43,,,,1919,2015,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2016,Occupational level ,Higher working,25.82,,,,1914,2016,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2017,Occupational level ,Higher working,24.71,,,,1752,2017,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2018,Occupational level ,Higher working,22.89,,,,1592,2018,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2019,Occupational level ,Higher working,23.52,,,,1538,2019,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2020,Occupational level ,Higher working,20.44,,,,979,2020,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2021,Occupational level ,Higher working,17.45,,,,1035,2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,Average,Occupational level ,Higher working,23.05,,,,12787,2014-2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2014,Occupational level ,Lower working,15.51,14.628,16.392,0.45,2269,2014,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2015,Occupational level ,Lower working,15.37,14.488,16.252,0.45,2118,2015,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2016,Occupational level ,Lower working,14.26,13.378,15.142,0.45,1912,2016,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2017,Occupational level ,Lower working,14.87,13.9684,15.7716,0.46,1758,2017,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2018,Occupational level ,Lower working,13.76,12.8584,14.6616,0.46,1718,2018,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2019,Occupational level ,Lower working,13.01,12.128,13.892,0.45,1619,2019,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2020,Occupational level ,Lower working,12.75,11.6916,13.8084,0.54,1080,2020,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,2021,Occupational level ,Lower working,15.71,14.7104,16.7096,0.51,1556,2021,Percentage,
DR33,Type of employment opportunities for young people,K02000001,"United Kingdom",Country,22-29,Average,Occupational level ,Lower working,14.4,14.0668,14.7332,0.17,14030,2014-2021,Percentage,
DR33,Type of employment opportunities for young people,TLI3,"Inner London - West",ITL2,22-29,,Occupational level ,Higher professional,18.7,11.84,25.56,3.5,127,2018-2021,Percentage,
DR33,Type of employment opportunities for young people,TLI4,"Inner London - East",ITL2,22-29,,Occupational level ,Higher professional,13.2,9.28,17.12,2,295,2018-2021,Percentage,
DR33,Type of employment opportunities for young people,TLI6,"Outer London - South",ITL2,22-29,,Occupational level ,Higher professional,13.7,9.192,18.208,2.3,222,2018-2021,Percentage,
DR33,Type of employment opportunities for young people,TLI5,"Outer London - East and North East",ITL2,22-29,,Occupational level ,Higher professional,15.1,11.376,18.824,1.9,350,2018-2021,Percentage,
DR33,Type of employment opportunities for young people,TLI7,"Outer London - West and North West",ITL2,22-29,,Occupational level ,Higher professional,11.2,7.476,14.924,1.9,289,2018-2021,Percentage,
