"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2021","Higher professional","25-29","Total",NA,NA,90.32,577,87.9092,92.7308,1.23,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2021","Lower professional","25-29","Total",NA,NA,92.84,626,90.8212,94.8588,1.03,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2021","Intermediate","25-29","Total",NA,NA,90.14,673,87.886,92.394,1.15,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2021","Higher working","25-29","Total",NA,NA,87.84,421,84.7236,90.9564,1.59,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2021","Lower working","25-29","Total",NA,NA,76.89,508,73.2248,80.5552,1.87,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2021","Total","25-29","Total",NA,NA,87.95,2805,86.7544,89.1456,0.61,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Men",NA,NA,93.01309488,1945,91.78874997,94.02872024,0.571420988,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Women",NA,NA,88.65236542,2088,87.27854555,89.88380593,0.664607239,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher working","25-29","Men",NA,NA,92.35591891,2143,91.17293703,93.38690971,0.564788949,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher working","25-29","Women",NA,NA,80.04811928,2140,78.46345559,81.53035007,0.78237104,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Intermediate","25-29","Men",NA,NA,93.16308223,2694,92.17946547,94.05339384,0.478042953,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Intermediate","25-29","Women",NA,NA,83.22907432,2673,81.88418057,84.49446217,0.665888162,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower professional","25-29","Men",NA,NA,93.52684065,2274,92.44044115,94.44364691,0.511021879,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower professional","25-29","Women",NA,NA,86.92062944,2453,85.60764878,88.12995487,0.643445432,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Men",NA,NA,85.94167547,2054,84.44573145,87.29204912,0.726101444,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Women",NA,NA,70.81153995,2041,69.08604667,72.44000832,0.855602462,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Disability","No",92.17345332,3619,91.28035315,92.98603028,0.435121716,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Disability","Yes",81.29693521,400,77.40612987,84.46839601,1.801598505,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher working","25-29","Total","Disability","No",89.88872683,3820,88.94440052,90.77592886,0.467226618,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher working","25-29","Total","Disability","Yes",64.73442316,451,61.01312948,68.25609652,1.847695673,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Intermediate","25-29","Total","Disability","No",91.45936165,4825,90.65858993,92.18276078,0.388819093,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Intermediate","25-29","Total","Disability","Yes",68.44368624,524,64.98380764,71.59965978,1.687717383,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower professional","25-29","Total","Disability","No",92.87554971,4239,92.07422217,93.58797641,0.386161794,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower professional","25-29","Total","Disability","Yes",72.03519936,474,68.3274414,75.32913064,1.786145213,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Disability","No",85.1090016,3521,83.98677688,86.17536896,0.558314306,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Disability","Yes",52.19809837,555,49.10953764,55.19371822,1.552086883,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","White British",95.39390887,22490,94.72771908,95.97949362,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","White British",87.603006,22490,86.38666453,88.72485302,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","White other",95.5842741,22490,94.63460822,96.37229412,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","White other",88.07511062,22490,86.14309793,89.76974088,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Mixed",93.79448735,22490,91.65455069,95.41316302,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Mixed",83.75885688,22490,79.18167186,87.48869882,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Indian",94.51725477,22490,92.91142255,95.77584406,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Indian",85.46941216,22490,81.93481226,88.41026254,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Other",88.63392537,22490,86.03484074,90.80100925,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Other",72.68318916,22490,68.19127844,76.75698073,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Black African",93.9852379,22490,91.74335686,95.64727401,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Black African",84.20614655,22490,79.38542106,88.06897281,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Bangladeshi",89.97266685,22490,86.00136593,92.91021819,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Bangladeshi",75.37878484,22490,68.09010627,81.45603415,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Pakistani",88.05725596,22490,85.0430392,90.53165981,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Pakistani",71.55694374,22490,66.5478613,76.08550996,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Chinese",83.92223046,22490,77.4806619,88.78785221,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Chinese",64.04180699,22490,54.08579039,72.91988034,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Higher professional","25-29","Total","Ethnicity","Black Caribbean",96.31413342,22490,94.02337571,97.74790595,NA,"Percentage",NA
"IN31","Economic activity of young people","Country","K02000001","United Kingdom","2014-21","Lower working","25-29","Total","Ethnicity","Black Caribbean",89.91518092,22490,84.41878523,93.61923086,NA,"Percentage",NA
