SEB,Sex,Category,Value
No qualifications,Male,No qualifications,0.323
School qualifications,Male,No qualifications,0.15
Post-school qualifications,Male,No qualifications,0.143
University,Male,No qualifications,0.075
No qualifications,Male,School qualifications,0.417
School qualifications,Male,School qualifications,0.465
Post-school qualifications,Male,School qualifications,0.375
University,Male,School qualifications,0.242
No qualifications,Male,Post-school qualifications,0.081
School qualifications,Male,Post-school qualifications,0.09
Post-school qualifications,Male,Post-school qualifications,0.122
University,Male,Post-school qualifications,0.075
No qualifications,Male,University,0.18
School qualifications,Male,University,0.295
Post-school qualifications,Male,University,0.36
University,Male,University,0.609
