"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Quintile"
"CI3","Socio-cultural advantage","TLH2","Bedfordshire and Hertfordshire","ITL2",NA,NA,NA,NA,0.559937604,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI3","Socio-cultural advantage","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","ITL2",NA,NA,NA,NA,0.717483208,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI3","Socio-cultural advantage","TLD6","Cheshire","ITL2",NA,NA,NA,NA,0.571874639,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI3","Socio-cultural advantage","TLK3","Cornwall and Isles of Scilly","ITL2",NA,NA,NA,NA,0.16738006,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI3","Socio-cultural advantage","TLD1","Cumbria","ITL2",NA,NA,NA,NA,0.189548591,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI3","Socio-cultural advantage","TLF1","Derbyshire and Nottinghamshire","ITL2",NA,NA,NA,NA,0.28739771,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI3","Socio-cultural advantage","TLK4","Devon","ITL2",NA,NA,NA,NA,0.335494257,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI3","Socio-cultural advantage","TLK2","Dorset and Somerset","ITL2",NA,NA,NA,NA,0.43021196,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI3","Socio-cultural advantage","TLH1","East Anglia","ITL2",NA,NA,NA,NA,0.367573549,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI3","Socio-cultural advantage","TLL2","East Wales","ITL2",NA,NA,NA,NA,0.353405715,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI3","Socio-cultural advantage","TLE1","East Yorkshire and Northern Lincolnshire","ITL2",NA,NA,NA,NA,0.053180423,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI3","Socio-cultural advantage","TLM7","Eastern Scotland","ITL2",NA,NA,NA,NA,0.352640085,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI3","Socio-cultural advantage","TLH3","Essex","ITL2",NA,NA,NA,NA,0.294111176,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI3","Socio-cultural advantage","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area","ITL2",NA,NA,NA,NA,0.452736532,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI3","Socio-cultural advantage","TLD3","Greater Manchester","ITL2",NA,NA,NA,NA,0.335925567,NA,NA,NA,NA,NA,NA,NA,"Total",3
