"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Quintile"
"CI1","Promising prospects","TLH2","Bedfordshire and Hertfordshire","ITL2",NA,NA,NA,NA,0.642002273,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI1","Promising prospects","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","ITL2",NA,NA,NA,NA,0.415468845,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI1","Promising prospects","TLD6","Cheshire","ITL2",NA,NA,NA,NA,0.156786672,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI1","Promising prospects","TLK3","Cornwall and Isles of Scilly","ITL2",NA,NA,NA,NA,0.229938213,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI1","Promising prospects","TLD1","Cumbria","ITL2",NA,NA,NA,NA,0.360233401,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI1","Promising prospects","TLF1","Derbyshire and Nottinghamshire","ITL2",NA,NA,NA,NA,0.25111879,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI1","Promising prospects","TLK4","Devon","ITL2",NA,NA,NA,NA,0.430095801,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI1","Promising prospects","TLK2","Dorset and Somerset","ITL2",NA,NA,NA,NA,0.447603284,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI1","Promising prospects","TLH1","East Anglia","ITL2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI1","Promising prospects","TLL2","East Wales","ITL2",NA,NA,NA,NA,0.340387397,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI1","Promising prospects","TLE1","East Yorkshire and Northern Lincolnshire","ITL2",NA,NA,NA,NA,0.322373786,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI1","Promising prospects","TLM7","Eastern Scotland","ITL2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI1","Promising prospects","TLH3","Essex","ITL2",NA,NA,NA,NA,0.419147895,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI1","Promising prospects","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area","ITL2",NA,NA,NA,NA,0.210194444,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI1","Promising prospects","TLD3","Greater Manchester","ITL2",NA,NA,NA,NA,0.260798572,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI1","Promising prospects","TLJ3","Hampshire and Isle of Wight","ITL2",NA,NA,NA,NA,0.284456234,NA,NA,NA,NA,NA,NA,NA,"Total",3
