"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Quintile"
"CI5","R & D environment","TLH2","Bedfordshire and Hertfordshire","ITL2",NA,NA,NA,NA,0.814844017,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI5","R & D environment","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","ITL2",NA,NA,NA,NA,0.789356708,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI5","R & D environment","TLD6","Cheshire","ITL2",NA,NA,NA,NA,0.532146604,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI5","R & D environment","TLK3","Cornwall and Isles of Scilly","ITL2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI5","R & D environment","TLD1","Cumbria","ITL2",NA,NA,NA,NA,0.340527763,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI5","R & D environment","TLF1","Derbyshire and Nottinghamshire","ITL2",NA,NA,NA,NA,0.746275854,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI5","R & D environment","TLK4","Devon","ITL2",NA,NA,NA,NA,0.486940535,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI5","R & D environment","TLK2","Dorset and Somerset","ITL2",NA,NA,NA,NA,0.442690948,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI5","R & D environment","TLH1","East Anglia","ITL2",NA,NA,NA,NA,0.695930959,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLL2","East Wales","ITL2",NA,NA,NA,NA,0.52743241,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI5","R & D environment","TLE1","East Yorkshire and Northern Lincolnshire","ITL2",NA,NA,NA,NA,0.653196166,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI5","R & D environment","TLM7","Eastern Scotland","ITL2",NA,NA,NA,NA,0.718794039,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLH3","Essex","ITL2",NA,NA,NA,NA,0.615180046,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI5","R & D environment","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area","ITL2",NA,NA,NA,NA,0.755682482,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI5","R & D environment","TLD3","Greater Manchester","ITL2",NA,NA,NA,NA,0.691714896,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLJ3","Hampshire and Isle of Wight","ITL2",NA,NA,NA,NA,0.716945861,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLG1","Herefordshire, Worcestershire and Warwickshire","ITL2",NA,NA,NA,NA,0.534764248,NA,NA,NA,NA,NA,NA,NA,"Total",2
"CI5","R & D environment","TLM6","Highlands and Islands","ITL2",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI5","R & D environment","TLI4","Inner London - East","ITL2",NA,NA,NA,NA,0.654445289,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLI3","Inner London - West","ITL2",NA,NA,NA,NA,0.777678711,NA,NA,NA,NA,NA,NA,NA,"Total",5
"CI5","R & D environment","TLJ4","Kent","ITL2",NA,NA,NA,NA,0.616432529,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI5","R & D environment","TLD4","Lancashire","ITL2",NA,NA,NA,NA,0.588174139,NA,NA,NA,NA,NA,NA,NA,"Total",3
"CI5","R & D environment","TLF2","Leicestershire, Rutland and Northamptonshire","ITL2",NA,NA,NA,NA,0.682955412,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLF3","Lincolnshire","ITL2",NA,NA,NA,NA,0.334443838,NA,NA,NA,NA,NA,NA,NA,"Total",1
"CI5","R & D environment","TLD7","Merseyside","ITL2",NA,NA,NA,NA,0.703893303,NA,NA,NA,NA,NA,NA,NA,"Total",4
"CI5","R & D environment","TLM5","North Eastern Scotland","ITL2",NA,NA,NA,NA,0.266742889,NA,NA,NA,NA,NA,NA,NA,"Total",1
