"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201415,NA,"17-30","Total","Methodology","With additional providers",49.1,331015,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201516,NA,"17-30","Total","Methodology","With additional providers",50.4,341480,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201617,NA,"17-30","Total","Methodology","With additional providers",51,342085,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201718,NA,"17-30","Total","Methodology","With additional providers",51.5,342020,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201819,NA,"17-30","Total","Methodology","With additional providers",51.9,339230,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201920,NA,"17-30","Total","Methodology","With additional providers",53.3,343195,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",202021,NA,"17-30","Total","Methodology","With additional providers",57.1,367035,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",200607,NA,"17-30","Total","Methodology","Without additional providers",41.8,279105,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",200708,NA,"17-30","Total","Methodology","Without additional providers",43.1,290310,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",200809,NA,"17-30","Total","Methodology","Without additional providers",45.1,308120,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",200910,NA,"17-30","Total","Methodology","Without additional providers",46,320570,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201011,NA,"17-30","Total","Methodology","Without additional providers",46,321730,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201112,NA,"17-30","Total","Methodology","Without additional providers",49.1,338660,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201213,NA,"17-30","Total","Methodology","Without additional providers",42.6,291235,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201314,NA,"17-30","Total","Methodology","Without additional providers",46.5,313550,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201415,NA,"17-30","Total","Methodology","Without additional providers",47.9,323100,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201516,NA,"17-30","Total","Methodology","Without additional providers",49.2,333210,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201617,NA,"17-30","Total","Methodology","Without additional providers",49.9,334125,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201718,NA,"17-30","Total","Methodology","Without additional providers",50.2,333225,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201819,NA,"17-30","Total","Methodology","Without additional providers",50.7,331420,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",201920,NA,"17-30","Total","Methodology","Without additional providers",52.3,336550,NA,NA,NA,"Percentage",NA
"DR23b","Access to higher education: initial entrants to higher education","National","E92000001","England",202021,NA,"17-30","Total","Methodology","Without additional providers",55.6,357305,NA,NA,NA,"Percentage",NA
