"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2021,NA,"22-29","Total",NA,NA,12.57,4495,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2020,NA,"22-29","Total",NA,NA,12.56396694,4312,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2019,NA,"22-29","Total",NA,NA,12.29877551,4551,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2018,NA,"22-29","Total",NA,NA,11.91803774,4486,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2017,NA,"22-29","Total",NA,NA,11.70938224,4553,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2016,NA,"22-29","Total",NA,NA,11.65722772,4471,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2015,NA,"22-29","Total",NA,NA,11.26044,4481,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2014,NA,"22-29","Total",NA,NA,11.09277108,4329,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2013,NA,"22-29","Total",NA,NA,11.16,4145,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2012,NA,"22-29","Total",NA,NA,11.16,4108,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2011,NA,"22-29","Total",NA,NA,11.29115385,4114,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2010,NA,"22-29","Total",NA,NA,11.97749168,3966,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2009,NA,"22-29","Total",NA,NA,12.40423208,3968,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2008,NA,"22-29","Total",NA,NA,12.33814385,4033,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2007,NA,"22-29","Total",NA,NA,12.4327491,4030,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2006,NA,"22-29","Total",NA,NA,12.33906634,3775,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2005,NA,"22-29","Total",NA,NA,12.27037783,3762,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2004,NA,"22-29","Total",NA,NA,12.27886889,3422,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2003,NA,"22-29","Total",NA,NA,12.17851369,3376,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2002,NA,"22-29","Total",NA,NA,12.07402906,3474,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2001,NA,"22-29","Total",NA,NA,11.77335121,3567,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",2000,NA,"22-29","Total",NA,NA,11.34245232,3625,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",1999,NA,"22-29","Total",NA,NA,11.02165289,3779,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",1998,NA,"22-29","Total",NA,NA,10.7373913,3855,NA,NA,NA,"Pounds","Median real hourly wage"
"DR34","Median earnings of young people aged 22-29 years","Country","K02000001","United Kingdom",1997,NA,"22-29","Total",NA,NA,10.4904,3939,NA,NA,NA,"Pounds","Median real hourly wage"
