"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"CI3","Socio-cultural advantage","ITL2","TLH2","Bedfordshire and Hertfordshire",NA,NA,NA,"Total",NA,NA,0.559937604,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLJ1","Berkshire, Buckinghamshire and Oxfordshire",NA,NA,NA,"Total",NA,NA,0.717483208,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLD6","Cheshire",NA,NA,NA,"Total",NA,NA,0.571874639,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLK3","Cornwall and Isles of Scilly",NA,NA,NA,"Total",NA,NA,0.16738006,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLD1","Cumbria",NA,NA,NA,"Total",NA,NA,0.189548591,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLF1","Derbyshire and Nottinghamshire",NA,NA,NA,"Total",NA,NA,0.28739771,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLK4","Devon",NA,NA,NA,"Total",NA,NA,0.335494257,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLK2","Dorset and Somerset",NA,NA,NA,"Total",NA,NA,0.43021196,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLH1","East Anglia",NA,NA,NA,"Total",NA,NA,0.367573549,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLL2","East Wales",NA,NA,NA,"Total",NA,NA,0.353405715,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLE1","East Yorkshire and Northern Lincolnshire",NA,NA,NA,"Total",NA,NA,0.053180423,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLM7","Eastern Scotland",NA,NA,NA,"Total",NA,NA,0.352640085,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLH3","Essex",NA,NA,NA,"Total",NA,NA,0.294111176,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area",NA,NA,NA,"Total",NA,NA,0.452736532,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLD3","Greater Manchester",NA,NA,NA,"Total",NA,NA,0.335925567,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLJ3","Hampshire and Isle of Wight",NA,NA,NA,"Total",NA,NA,0.504814857,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLG1","Herefordshire, Worcestershire and Warwickshire",NA,NA,NA,"Total",NA,NA,0.478497177,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLM6","Highlands and Islands",NA,NA,NA,"Total",NA,NA,0.144146822,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLI4","Inner London - East",NA,NA,NA,"Total",NA,NA,0.49738027,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLI3","Inner London - West",NA,NA,NA,"Total",NA,NA,1,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLJ4","Kent",NA,NA,NA,"Total",NA,NA,0.336219309,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLD4","Lancashire",NA,NA,NA,"Total",NA,NA,0.207155695,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLF2","Leicestershire, Rutland and Northamptonshire",NA,NA,NA,"Total",NA,NA,0.333498242,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLF3","Lincolnshire",NA,NA,NA,"Total",NA,NA,0,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLD7","Merseyside",NA,NA,NA,"Total",NA,NA,0.25976183,NA,NA,NA,NA,NA,NA
"CI3","Socio-cultural advantage","ITL2","TLM5","North Eastern Scotland",NA,NA,NA,"Total",NA,NA,0.443243802,NA,NA,NA,NA,NA,NA
