"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","1",55.3,44848,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","2",58.8,43627,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","3",61.3,42222,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","4",63.7,42321,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","5",65.6,40651,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","6",67.8,39546,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","7",69.3,38678,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","8",71.4,37647,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","9",72.7,37841,NA,NA,NA,"Percentage",NA
"IN11","Level of development at age 5","National","E92000001","England","202122",NA,5,"Total","IDACI decile","10",75.3,37693,NA,NA,NA,"Percentage",NA
