Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,FSM_eligible,Not_known_to_be_FSM_eligible,Sample_size,LCI,UCI,SE,Unit,Value_note
IN12,Attainment at age 11,ITL2,,Bedfordshire and Hertfordshire,2021-2022,FSM,11,Total,NA,NA,25.10748129,37.35955056,62.46703185,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,"Berkshire, Buckinghamshire and Oxfordshire",2021-2022,FSM,11,Total,NA,NA,28.6293447,35.97249509,64.60183979,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Cheshire,2021-2022,FSM,11,Total,NA,NA,26.41610755,40.04608295,66.4621905,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Cornwall and Isles of Scilly,2021-2022,FSM,11,Total,NA,NA,22.01843611,37.69230769,59.7107438,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Cumbria,2021-2022,FSM,11,Total,NA,NA,24.2132703,36.85220729,61.06547759,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Derbyshire and Nottinghamshire,2021-2022,FSM,11,Total,NA,NA,23.51665114,39.98049052,63.49714166,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Devon,2021-2022,FSM,11,Total,NA,NA,24.87026651,37.33102253,62.20128904,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,Dorset and Somerset,2021-2022,FSM,11,Total,NA,NA,25.83790098,35.79387187,61.63177285,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,East Anglia,2021-2022,FSM,11,Total,NA,NA,24.42102419,34.96866881,59.389693,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
IN12,Attainment at age 11,ITL2,,East Yorkshire and Northern Lincolnshire,2021-2022,FSM,11,Total,NA,NA,20.87571202,43.14984709,64.02555911,NA,NA,NA,NA,Percentage,"Value equates to gap, i.e. Not known to be FSM eligible - FSM eligible"
