"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Any other ethnic group",50,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Any other ethnic group",59,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Asian - Any other Asian",51,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Asian - Any other Asian",70,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Asian - Bangladeshi",59,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Asian - Bangladeshi",66,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Asian - Chinese",66,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Asian - Chinese",77,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Asian - Indian",58,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Asian - Indian",72,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Asian - Pakistani",49,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Asian - Pakistani",57,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Black - Any other Black background",50,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Black - Any other Black background",59,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Black - Black African",54,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Black - Black African",65,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Black - Black Caribbean",46,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Black - Black Caribbean",56,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Mixed - Any other Mixed background",48,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Mixed - Any other Mixed background",68,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Mixed - White and Asian",48,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Mixed - White and Asian",74,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Mixed - White and Black African",50,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Mixed - White and Black African",66,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Mixed - White and Black Caribbean",44,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Mixed - White and Black Caribbean",60,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","Unclassified",44,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","Unclassified",51,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","White - Any other White background",45,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","White - Any other White background",57,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","White - Gypsy/Roma",15,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","White - Gypsy/Roma",17,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","White - Irish",43,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","White - Irish",74,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","White - Traveller of Irish heritage",17,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","White - Traveller of Irish heritage",28,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","FSM eligible","11","Total","Ethnicity","White - White British",39,NA,NA,NA,NA,"Percentage",NA
"IN12","Attaintment at age 11","National","E92000001","England","201617","Not known to be FSM eligible","11","Total","Ethnicity","White - White British",65,NA,NA,NA,NA,"Percentage",NA
