"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Higher professional","16-24","Men",NA,NA,9.972912766,433,9.103037513,10.85263904,0.446326919,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Higher professional","16-24","Women",NA,NA,8.000607157,329,7.197052555,8.861918771,0.424710769,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Higher working","16-24","Men",NA,NA,14.17940777,564,13.13583,15.26816101,0.543961995,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Higher working","16-24","Women",NA,NA,14.35881392,575,13.29554237,15.44178203,0.547510116,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Intermediate","16-24","Men",NA,NA,11.82017456,543,10.90256516,12.76396472,0.474846826,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Intermediate","16-24","Women",NA,NA,12.27881465,556,11.3514041,13.24892857,0.484062364,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Lower professional","16-24","Men",NA,NA,11.36283152,519,10.48585559,12.27923052,0.457493603,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Lower professional","16-24","Women",NA,NA,9.576670082,420,8.754374289,10.44483048,0.431238824,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Lower working","16-24","Men",NA,NA,21.16733598,835,19.92137729,22.42695335,0.639177566,"Percentage",NA
"IN21a","Destinations following the end of compulsory full-time education:NEET","Country","K02000001","United Kingdom","2014-21","Lower working","16-24","Women",NA,NA,21.90384491,895,20.653751,23.1506599,0.636966556,"Percentage",NA
