"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Category_type2","Category2"
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower working","Highest qualification","Lower level (below CSE grade 1)",20.25,16.722,23.778,1.8,1148,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher working","Highest qualification","Lower level (below CSE grade 1)",7.9,5.352,10.448,1.3,674,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Highest qualification","Lower level (below CSE grade 1)",9.06,6.904,11.216,1.1,682,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Highest qualification","Lower level (below CSE grade 1)",3.68,2.112,5.248,0.8,264,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Highest qualification","Lower level (below CSE grade 1)",3.37,1.802,4.938,0.8,158,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Total","Highest qualification","Lower level (below CSE grade 1)",8.61,7.63,9.59,0.5,2926,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower working","Highest qualification","O level, GCSE and equivalent",17.19,NA,NA,NA,949,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher working","Highest qualification","O level, GCSE and equivalent",10.93,NA,NA,NA,751,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Highest qualification","O level, GCSE and equivalent",8.58,NA,NA,NA,765,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Highest qualification","O level, GCSE and equivalent",9.55,NA,NA,NA,467,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Highest qualification","O level, GCSE and equivalent",3.74,NA,NA,NA,255,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Total","Highest qualification","O level, GCSE and equivalent",9.75,NA,NA,NA,3187,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower working","Highest qualification","A level and equivalent",30.14,NA,NA,NA,1645,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher working","Highest qualification","A level and equivalent",30.24,NA,NA,NA,1671,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Highest qualification","A level and equivalent",28.34,NA,NA,NA,1788,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Highest qualification","A level and equivalent",21.42,NA,NA,NA,1265,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Highest qualification","A level and equivalent",16.39,NA,NA,NA,843,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Total","Highest qualification","A level and equivalent",24.98,NA,NA,NA,7212,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower working","Highest qualification","Further education below degree",4.59,NA,NA,NA,357,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher working","Highest qualification","Further education below degree",8.59,NA,NA,NA,379,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Highest qualification","Further education below degree",6.03,NA,NA,NA,456,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Highest qualification","Further education below degree",5.42,NA,NA,NA,410,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Highest qualification","Further education below degree",5.12,NA,NA,NA,288,"2018-2021","Percentage",NA,"Total",NA,NA
"IN23","Highest qualification of young people","K02000001","United Kingdom","Country","25-29","Total","Highest qualification","Further education below degree",5.84,NA,NA,NA,1890,"2018-2021","Percentage",NA,"Total",NA,NA
