"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN32","Unemployment among young people","ITL2","TLI3","Inner London - West","2018-2021",NA,"25-29","Total",NA,NA,0.8336976,63,-1.3277904,2.9951856,1.1028,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLI4","Inner London - East","2018-2021",NA,"25-29","Total",NA,NA,0.3031593,159,-1.610501596,2.216820196,0.9763576,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLI6","Outer London - South","2018-2021",NA,"25-29","Total",NA,NA,1.344885,130,-0.6252384,3.3150084,1.005165,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLI5","Outer London - East and North East","2018-2021",NA,"25-29","Total",NA,NA,0.3210803,212,-1.463540272,2.105700872,0.9105207,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLI7","Outer London - West and North West","2018-2021",NA,"25-29","Total",NA,NA,1.392963,156,-0.511364964,3.297290964,0.9715959,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLH2","Bedfordshire and Hertfordshire","2018-2021",NA,"25-29","Total",NA,NA,-0.1850744,266,-1.89464618,1.52449738,0.8722305,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","2018-2021",NA,"25-29","Total",NA,NA,-0.1746206,369,-1.735263152,1.386021952,0.7962462,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLD6","Cheshire","2018-2021",NA,"25-29","Total",NA,NA,-0.5622712,135,-2.522216124,1.397673724,0.9999719,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLK3","Cornwall and Isles of Scilly","2018-2021",NA,"25-29","Total",NA,NA,-0.2018995,73,-2.33679226,1.93299326,1.089231,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLD1","Cumbria","2018-2021",NA,"25-29","Total",NA,NA,-0.5659583,106,-2.59225334,1.46033674,1.033824,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLF1","Derbyshire and Nottinghamshire","2018-2021",NA,"25-29","Total",NA,NA,-0.6723403,323,-2.292293236,0.947612636,0.8265066,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLK4","Devon","2018-2021",NA,"25-29","Total",NA,NA,-0.7806634,193,-2.614938416,1.053611616,0.9358546,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLK2","Dorset and Somerset","2018-2021",NA,"25-29","Total",NA,NA,-0.4685152,209,-2.2685841,1.3315537,0.9184025,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLH1","East Anglia","2018-2021",NA,"25-29","Total",NA,NA,-0.4122701,364,-1.984514284,1.159974084,0.8021654,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLE1","East Yorkshire and Northern Lincolnshire","2018-2021",NA,"25-29","Total",NA,NA,-0.7424089,152,-2.6655413,1.1807235,0.98119,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLH3","Essex","2018-2021",NA,"25-29","Total",NA,NA,-0.6186491,249,-2.34350496,1.10620676,0.8800285,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLK1","Gloucestershire, Wiltshire and Bath/Bristol area","2018-2021",NA,"25-29","Total",NA,NA,-0.5970523,404,-2.117253388,0.923148788,0.7756128,"Random effect",NA
"IN32","Unemployment among young people","ITL2","TLD3","Greater Manchester","2018-2021",NA,"25-29","Total",NA,NA,0.4513165,364,-1.140852456,2.043485456,0.8123311,"Random effect",NA
