"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex","Category_type2","Category2"
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Lower working",32.17313542,NA,NA,NA,770,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Higher working",28.25802479,NA,NA,NA,679,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Intermediate",16.91734463,NA,NA,NA,407,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Lower professional",15.36978312,NA,NA,NA,346,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower working","Occupational level","Higher professional",7.281712055,NA,NA,NA,162,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Lower working",21.85032798,NA,NA,NA,494,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Higher working",28.1141441,NA,NA,NA,669,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Intermediate",17.20119747,NA,NA,NA,407,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Lower professional",20.88922883,NA,NA,NA,479,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher working","Occupational level","Higher professional",11.94510162,NA,NA,NA,260,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Lower working",18.19448669,NA,NA,NA,547,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Higher working",22.22366196,NA,NA,NA,669,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Intermediate",21.22044488,NA,NA,NA,632,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Lower professional",23.19122022,NA,NA,NA,653,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Intermediate","Occupational level","Higher professional",15.17018625,NA,NA,NA,394,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Lower working",14.45160202,NA,NA,NA,362,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Higher working",17.44405974,NA,NA,NA,443,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Intermediate",18.66733943,NA,NA,NA,459,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Lower professional",28.52082756,NA,NA,NA,684,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Lower professional","Occupational level","Higher professional",20.91617125,NA,NA,NA,481,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Lower working",13.43525212,NA,NA,NA,300,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Higher working",12.65594027,NA,NA,NA,283,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Intermediate",15.58022484,NA,NA,NA,345,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Lower professional",30.77649882,NA,NA,NA,629,"2014-21","Percentage",NA,"Men",NA,NA
"IN33","Occupational level of young people","K02000001","United Kingdom","Country","25-29","Higher professional","Occupational level","Higher professional",27.55208395,NA,NA,NA,534,"2014-21","Percentage",NA,"Men",NA,NA
