"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","White British",9.844562578,6232,9.573431817,10.12337208,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Bangladeshi",9.054597785,6232,7.527556006,10.89141562,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Black African",8.950603429,6232,7.888583971,10.15559979,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Black Caribbean",11.07047579,6232,9.582158452,12.78996114,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Chinese",9.164276696,6232,5.114309584,16.42136949,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Indian",8.889731199,6232,7.761712187,10.18168658,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Mixed",10.17577657,6232,9.04104189,11.45293098,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Other",9.467842294,6232,8.376793392,10.70099661,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","Pakistani",8.940610069,6232,7.528712066,10.61728855,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Non-degree","Ethnicity","White other",8.842884984,6232,8.372384485,9.339826065,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","White British",12.94659372,6232,12.52835179,13.37879808,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Bangladeshi",9.659042143,6232,7.948967274,11.73700833,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Black African",13.66802281,6232,12.39739793,15.06887562,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Black Caribbean",11.40751515,6232,9.692824523,13.42553986,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Chinese",13.07241035,6232,11.43657963,14.94222205,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Indian",13.25948781,6232,12.24764233,14.35492746,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Mixed",13.40364475,6232,11.83684553,15.17783536,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Other",11.93493228,6232,10.96429713,12.99149473,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","Pakistani",12.24896649,6232,10.80413966,13.88700856,NA,"Pounds","Lower working"
"IN351","Returns to education in earnings","Country","K02000001","United Kingdom","2014-21",NA,"25-29","Total","Highest qualification","Degree","Ethnicity","White other",13.06889683,6232,12.38419187,13.79145819,NA,"Pounds","Lower working"
