"Ind_code","Ind_name","Area_code","Area_name","Area_type","Age","SEB","Category_type","Category","Value","LCI","UCI","SE","Sample_size","Time_period","Unit","Value_note","Sex"
"IN42","Occupational progression","K02000001","United Kingdom","Country","25","Lower working","Sex","Men",0.244136,0.232689,0.255584,0.005841,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","26","Lower working","Sex","Men",0.256837,0.246571,0.267104,0.005238,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","27","Lower working","Sex","Men",0.268726,0.259331,0.278121,0.004793,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","28","Lower working","Sex","Men",0.279689,0.270804,0.288575,0.004534,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","29","Lower working","Sex","Men",0.289627,0.280896,0.298359,0.004455,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","30","Lower working","Sex","Men",0.298455,0.28959,0.307319,0.004523,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","31","Lower working","Sex","Men",0.306099,0.296919,0.315278,0.004684,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","32","Lower working","Sex","Men",0.312501,0.302927,0.322074,0.004884,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","33","Lower working","Sex","Men",0.317612,0.307648,0.327577,0.005084,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","34","Lower working","Sex","Men",0.321397,0.311097,0.331697,0.005255,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","35","Lower working","Sex","Men",0.323829,0.313276,0.334383,0.005384,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","36","Lower working","Sex","Men",0.324893,0.314173,0.335612,0.005469,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","37","Lower working","Sex","Men",0.32458,0.313764,0.335396,0.005518,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","38","Lower working","Sex","Men",0.322893,0.312014,0.333772,0.005551,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","39","Lower working","Sex","Men",0.319844,0.308878,0.330809,0.005595,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","40","Lower working","Sex","Men",0.315452,0.304306,0.326598,0.005687,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","41","Lower working","Sex","Men",0.309749,0.298251,0.321247,0.005866,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","42","Lower working","Sex","Men",0.302776,0.290687,0.314865,0.006168,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","43","Lower working","Sex","Men",0.294586,0.281623,0.30755,0.006614,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","44","Lower working","Sex","Men",0.285244,0.271114,0.299375,0.00721,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","25","Higher working","Sex","Men",0.308492,0.295454,0.321529,0.006652,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","26","Higher working","Sex","Men",0.325935,0.314387,0.337483,0.005892,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","27","Higher working","Sex","Men",0.342457,0.332048,0.352867,0.005311,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","28","Higher working","Sex","Men",0.357926,0.348237,0.367614,0.004943,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","29","Higher working","Sex","Men",0.372227,0.362843,0.381611,0.004788,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","30","Higher working","Sex","Men",0.385267,0.375845,0.394689,0.004807,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","31","Higher working","Sex","Men",0.39697,0.387289,0.406651,0.00494,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","32","Higher working","Sex","Men",0.407276,0.397235,0.417317,0.005123,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","33","Higher working","Sex","Men",0.416138,0.405732,0.426544,0.005309,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","34","Higher working","Sex","Men",0.423521,0.412806,0.434236,0.005467,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","35","Higher working","Sex","Men",0.429401,0.418463,0.440338,0.005581,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","36","Higher working","Sex","Men",0.433758,0.422687,0.444829,0.005649,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","37","Higher working","Sex","Men",0.43658,0.425444,0.447717,0.005682,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","38","Higher working","Sex","Men",0.437862,0.426681,0.449044,0.005705,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","39","Higher working","Sex","Men",0.437599,0.426323,0.448876,0.005753,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","40","Higher working","Sex","Men",0.435793,0.424279,0.447307,0.005875,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","41","Higher working","Sex","Men",0.432447,0.420448,0.444446,0.006122,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","42","Higher working","Sex","Men",0.42757,0.414745,0.440395,0.006544,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","43","Higher working","Sex","Men",0.421177,0.407119,0.435235,0.007173,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","44","Higher working","Sex","Men",0.413287,0.397567,0.429008,0.008021,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","25","Intermediate","Sex","Men",0.337374,0.323915,0.350834,0.006867,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","26","Intermediate","Sex","Men",0.356821,0.345042,0.368599,0.006009,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","27","Intermediate","Sex","Men",0.375276,0.364821,0.385732,0.005335,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","28","Intermediate","Sex","Men",0.392603,0.383036,0.402169,0.004881,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","29","Intermediate","Sex","Men",0.408685,0.399563,0.417808,0.004655,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","30","Intermediate","Sex","Men",0.423432,0.41438,0.432484,0.004618,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","31","Intermediate","Sex","Men",0.436772,0.427543,0.446001,0.004709,NA,"2014-21","Predictive margins",NA,"Men"
"IN42","Occupational progression","K02000001","United Kingdom","Country","32","Intermediate","Sex","Men",0.448651,0.43913,0.458172,0.004858,NA,"2014-21","Predictive margins",NA,"Men"
