"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","White British",NA,NA,33,NA,32.804,33.196,0.1,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","White other",NA,NA,29.4,NA,28.224,30.576,0.6,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Mixed",NA,NA,33.7,NA,31.152,36.248,1.3,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Black Caribbean",NA,NA,34.7,NA,32.152,37.248,1.3,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Black African",NA,NA,30.5,NA,27.756,33.244,1.4,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Indian",NA,NA,43.8,NA,41.84,45.76,1,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Pakistani",NA,NA,24.8,NA,22.84,26.76,1,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Bangladeshi",NA,NA,23.1,NA,20.16,26.04,1.5,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Chinese",NA,NA,45.7,NA,41.192,50.208,2.3,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Other",NA,NA,29,NA,27.04,30.96,1,"Percentage","Long-up occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","White British",NA,NA,20.9,NA,20.704,21.096,0.1,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","White other",NA,NA,22,NA,21.02,22.98,0.5,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Mixed",NA,NA,23.6,NA,21.248,25.952,1.2,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Black Caribbean",NA,NA,31.1,NA,26.984,35.216,2.1,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Black African",NA,NA,36.5,NA,34.148,38.852,1.2,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Indian",NA,NA,19.5,NA,17.932,21.068,0.8,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Pakistani",NA,NA,40.3,NA,37.164,43.436,1.6,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Bangladeshi",NA,NA,45.3,NA,39.812,50.788,2.8,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Chinese",NA,NA,25.3,NA,21.772,28.828,1.8,"Percentage","Long-down occupational mobility"
"MO11","Absolute occupational mobility","Country","K02000001","United Kingdom","2018-22",NA,"25-64","Total","Ethnicity","Other",NA,NA,34.3,NA,32.536,36.064,0.9,"Percentage","Long-down occupational mobility"
