"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"DR11",NA,"National","K02000001","United Kingdom",2021,NA,NA,"Total",NA,NA,3.276854928,27085,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2020,NA,NA,"Total",NA,NA,3.407110092,25910,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2019,NA,NA,"Total",NA,NA,3.456287425,26703,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2018,NA,NA,"Total",NA,NA,3.539622642,26424,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2017,NA,NA,"Total",NA,NA,3.56824147,26241,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2016,NA,NA,"Total",NA,NA,3.620547945,25758,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2015,NA,NA,"Total",NA,NA,3.725290698,25997,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2014,NA,NA,"Total",NA,NA,3.821321321,25036,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2013,NA,NA,"Total",NA,NA,3.863013699,24575,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2012,NA,NA,"Total",NA,NA,3.863987635,24203,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2011,NA,NA,"Total",NA,NA,3.961965135,24376,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2010,NA,NA,"Total",NA,NA,3.963317384,24263,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2009,NA,NA,"Total",NA,NA,3.948470209,24256,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2008,NA,NA,"Total",NA,NA,3.945,24626,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2007,NA,NA,"Total",NA,NA,3.929674099,24487,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2006,NA,NA,"Total",NA,NA,3.96953405,23729,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2005,NA,NA,"Total",NA,NA,3.996268657,23659,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2004,NA,NA,"Total",NA,NA,3.955598456,21915,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2003,NA,NA,"Total",NA,NA,3.978043912,22209,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2002,NA,NA,"Total",NA,NA,4.018828452,21975,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2001,NA,NA,"Total",NA,NA,4.033112583,21858,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",2000,NA,NA,"Total",NA,NA,3.961009174,21721,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",1999,NA,NA,"Total",NA,NA,3.992822967,21490,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",1998,NA,NA,"Total",NA,NA,3.99,21167,NA,NA,NA,"Ratio",NA
"DR11",NA,"National","K02000001","United Kingdom",1997,NA,NA,"Total",NA,NA,4.01312336,20858,NA,NA,NA,"Ratio",NA
"DR11",NA,"Country","E92000001","England",2021,NA,NA,"Total",NA,NA,3.352486188,22576,NA,NA,NA,"Ratio",NA
"DR11",NA,"Country","W92000004","Wales",2021,NA,NA,"Total",NA,NA,2.765555556,1200,NA,NA,NA,"Ratio",NA
"DR11",NA,"Country","S92000003","Scotland",2021,NA,NA,"Total",NA,NA,2.961832061,2236,NA,NA,NA,"Ratio",NA
"DR11",NA,"Country","N92000002","Northern Ireland",2021,NA,NA,"Total",NA,NA,2.873176207,1074,NA,NA,NA,"Ratio",NA
"DR11",NA,"Country","E92000001","England",2020,NA,NA,"Total",NA,NA,3.496559633,21616,NA,NA,NA,"Ratio",NA
