Region,Index of research and development,Quintile
Bedfordshire and Hertfordshire,0.814844017,5
"Berkshire, Buckinghamshire and Oxfordshire",0.789356708,5
Cheshire,0.532146604,2
Cornwall and Isles of Scilly,0,1
Cumbria,0.340527763,1
Derbyshire and Nottinghamshire,0.746275854,5
Devon,0.486940535,2
Dorset and Somerset,0.442690948,2
East Anglia,0.695930959,4
East Wales,0.52743241,2
East Yorkshire and Northern Lincolnshire,0.653196166,3
Eastern Scotland,0.718794039,4
Essex,0.615180046,3
"Gloucestershire, Wiltshire and Bath/Bristol area",0.755682482,5
Greater Manchester,0.691714896,4
Hampshire and Isle of Wight,0.716945861,4
"Herefordshire, Worcestershire and Warwickshire",0.534764248,2
Highlands and Islands,0,1
Inner London - East,0.654445289,4
Inner London - West,0.777678711,5
Kent,0.616432529,3
Lancashire,0.588174139,3
"Leicestershire, Rutland and Northamptonshire",0.682955412,4
Lincolnshire,0.334443838,1
Merseyside,0.703893303,4
North Eastern Scotland,0.266742889,1
North Yorkshire,0.483741778,2
Northern Ireland,0.57803831,3
"Northumberland, and Tyne and Wear",0.582402961,3
Outer London - East and North East,0.414629715,1
Outer London - South,0.426430136,1
Outer London - West and North West,0.72238946,5
Shropshire and Staffordshire,0.530298558,2
South Yorkshire,0.477974302,2
Southern Scotland,0,1
"Surrey, East and West Sussex",0.695786667,4
Tees Valley and Durham,0.578056755,3
West Central Scotland,0.720377044,5
West Midlands,0.777674905,5
West Wales and The Valleys,0.442078927,1
West Yorkshire,0.640956171,3
