Socio-economic background,Sex,Lower level (below CSE grade 1) (%),"O level, GCSE and equivalent (%)",A level and equivalent (%),Further education below degree (%),First degree (%),Higher degree (%)
Higher professional,Men,3.499574534,6.99032816,19.20092229,5.9283084,42.31556293,22.01900489
,Women,3.234604389,3.907674237,15.39993808,6.147321906,45.01297498,26.26203489
Lower professional,Men,5.796087548,9.799664444,25.48549663,7.445893845,35.41289075,16.02208512
,Women,4.159557221,7.275069755,20.29717087,7.166163294,42.45319582,18.64884303
Intermediate,Men,13.04605096,12.65099596,28.19529527,6.973091129,28.10817815,10.80177861
,Women,9.534174712,10.89491306,27.85876765,7.289450145,32.91137821,11.47941459
Higher working,Men,15.83255596,15.72688426,33.08024728,6.659522904,21.90573032,6.691254108
,Women,10.7810705,14.0170523,32.01473708,8.215384426,27.67078732,7.166001818
Lower working,Men,25.14544538,17.66325825,30.88254037,5.969580454,15.17986601,4.91630818
,Women,19.11987426,17.71381235,31.32339424,7.238103182,18.62410537,5.829587978
