Region,Difference compared to average
Bedfordshire and Hertfordshire,21.0581
"Berkshire, Buckinghamshire and Oxfordshire",-0.138
Cheshire,-2.341
Cornwall and Isles of Scilly,-8.617
Cumbria,6.844
Derbyshire and Nottinghamshire,3.1714
Devon,-2.123
Dorset and Somerset,16.1342
East Anglia,-1.542
East Wales,2.9125
East Yorkshire and Northern Lincolnshire,-1.276
Eastern Scotland,-27.514
Essex,-1.749
"Gloucestershire, Wiltshire and Bath/Bristol area",-5.903
Greater Manchester,11.0706
Hampshire and Isle of Wight,8.7223
"Herefordshire, Worcestershire and Warwickshire",-1.498
Highlands and Islands,-2.612
Inner London - East,0.8951
Inner London - West,8.6212
Kent,-8.099
Lancashire,-13.15
"Leicestershire, Rutland and Northamptonshire",0.906
Lincolnshire,-23.638
Merseyside,-15.858
North Eastern Scotland,0.743
North Yorkshire,0.9082
Northern Ireland,12.9253
Northumberland and Tyne and Wear,-4.187
Outer London - East and North East,20.9765
Outer London - South,0.5565
Outer London - West and North West,2.4796
Shropshire and Staffordshire,-11.435
South Yorkshire,-2.338
Southern Scotland,-15.807
"Surrey, East and West Sussex",43.9118
Tees Valley and Durham,-10.3
West Central Scotland,-1.28
West Midlands,-2.559
West Wales and The Valleys,-3.516
West Yorkshire,4.6404
