OBJECTID,ITL221CD,ITL221NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID,DR32_quintile
1,TLC1,Tees Valley and Durham,414643,532242,-1.7744,54.68502,3037019961,362943.9539,ae6c9d98-dcad-45ab-9c3d-4a01cb67eb0b,4
2,TLC2,"Northumberland, and Tyne and Wear",398898,602530,-2.01892,55.31684,5572918932,487561.2447,9d7b715e-3b64-414c-892c-c2be393fab14,4
3,TLD1,Cumbria,341868,527389,-2.90218,54.63826,6837191895,532890.8299,1eff5e4e-0116-4ed6-b28e-182061979278,1
4,TLD3,Greater Manchester,377940,401102,-2.33407,53.50615,1273598326,206057.3684,ac2a567d-74e5-42d6-ab02-6d3cc972799c,5
5,TLD4,Lancashire,363669,441026,-2.55392,53.86418,3080572268,384651.7196,6e1ff120-aff5-41b9-8717-6ab4cf64ea9c,2
6,TLD6,Cheshire,368759,368676,-2.46927,53.21423,2262862169,301267.0376,326b4229-0456-4a52-9952-52f3e9ae768b,1
7,TLD7,Merseyside,344324,390164,-2.83893,53.40535,728384455.2,247085.6161,999fc7b3-0599-4f16-9e21-e6439593bdfe,3
8,TLE1,East Yorkshire and Northern Lincolnshire,488051,443608,-0.66203,53.88122,3523242721,523481.7891,615365d9-d39c-4aa7-8a47-1a3f6a3b1a37,5
9,TLE2,North Yorkshire,429509,466515,-1.55032,54.09371,8329477158,609211.0012,17cf2152-5a99-4a60-9a63-7e43b4633578,1
10,TLE3,South Yorkshire,441052,398663,-1.38284,53.48311,1550439665,213333.8455,520c68f9-a33e-4cf7-b0dc-e8eb88f9c36f,3
11,TLE4,West Yorkshire,418686,427238,-1.71817,53.7412,2029163317,240199.0264,4ca84cca-3191-4617-ae76-15604172c52d,5
12,TLF1,Derbyshire and Nottinghamshire,449616,357965,-1.26015,53.11658,4791270892,456206.4564,341b3dca-9d8b-4b9a-9c54-a51a2adc1df8,5
13,TLF2,"Leicestershire, Rutland and Northamptonshire",470025,284901,-0.97086,52.45759,4918296003,433986.6018,221437ea-8432-4065-b059-fba99f63efa6,4
14,TLF3,Lincolnshire,517985,358543,-0.23882,53.11105,5948614463,478976.0215,812db4f9-84ac-4dd0-b1e5-9fd502d2534f,3
15,TLG1,"Herefordshire, Worcestershire and Warwickshire",390692,262189,-2.13777,52.2578,5898521890,667740.3756,70ccf710-1cca-4a96-bb8e-d76a440796b5,2
16,TLG2,Shropshire and Staffordshire,376573,318829,-2.34864,52.76656,6201278666,559266.5261,91c8ac01-cada-4595-8982-cbb29357ff5e,4
17,TLG3,West Midlands,402507,289715,-1.96448,52.50534,902348992.8,206334.8774,a563a2fe-5899-4bd7-be67-76bdefb27769,5
18,TLH1,East Anglia,602130,288929,0.973833,52.4609,12604105653,651823.1929,e9c46dea-deec-4915-83f7-cdae215fadb2,4
